date,North Africa (WB),Sub-Saharan Africa (WB),Africa,Sub-Saharan Africa (UN),Eastern and Southern Africa,Western and Central Africa,Northern Africa,Middle Africa,Western Africa,Southern Africa,Eastern Africa,source
2018-01-31,7.9,4.65,4.71,4.65,5.42,3.1,7.9,10.35,5.2,2.5,5.42,Price inflation data from the WFP VAM resource centre
2018-02-28,7.7,4.05,4.1,4.05,4.51,4.0,7.7,9.4,4.1,2.0,4.51,Price inflation data from the WFP VAM resource centre
2018-03-31,8.7,4.2,4.4,4.2,4.66,3.8,8.7,16.9,4.2,2.7,4.66,Price inflation data from the WFP VAM resource centre
2018-04-30,8.9,4.7,4.9,4.7,4.4,5.1,8.9,8.8,5.3,2.9,4.3,Price inflation data from the WFP VAM resource centre
2018-05-31,8.56,3.9,4.15,3.9,3.65,4.2,8.56,16.2,4.4,3.4,2.4,Price inflation data from the WFP VAM resource centre
2018-06-30,8.6,3.4,4.15,3.4,3.6,4.1,8.6,16.1,4.9,3.4,2.15,Price inflation data from the WFP VAM resource centre
2018-07-31,8.3,3.15,3.7,3.15,3.15,3.7,8.3,7.8,4.7,2.9,1.95,Price inflation data from the WFP VAM resource centre
2018-08-31,7.0,2.45,2.79,2.45,3.1,2.0,7.0,5.15,3.5,2.7,1.9,Price inflation data from the WFP VAM resource centre
2018-09-30,5.8,2.55,2.6,2.55,3.9,2.1,5.8,5.2,2.6,2.5,2.95,Price inflation data from the WFP VAM resource centre
2018-10-31,6.5,3.2,3.4,3.2,4.05,2.7,6.5,6.0,3.8,3.0,3.82,Price inflation data from the WFP VAM resource centre
2018-11-30,2.61,3.3,2.96,3.3,4.95,1.95,2.61,5.9,2.0,3.4,4.25,Price inflation data from the WFP VAM resource centre
2018-12-31,-0.69,2.9,2.9,2.9,4.1,2.55,-0.69,5.3,2.95,3.0,2.72,Price inflation data from the WFP VAM resource centre
2019-01-31,2.06,3.3,3.2,3.3,2.9,4.0,2.06,2.0,6.0,2.9,2.46,Price inflation data from the WFP VAM resource centre
2019-02-28,2.04,2.8,2.42,2.8,1.66,2.8,2.04,2.9,2.8,2.9,1.38,Price inflation data from the WFP VAM resource centre
2019-03-31,2.83,2.92,2.84,2.92,2.97,2.6,2.83,3.0,2.6,3.1,2.84,Price inflation data from the WFP VAM resource centre
