Year,Indicator,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,Congo Republic,Cote d'Ivoire,DR Congo,Djibouti,Egypt,Eswatini,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,South Africa,South Sudan,Sub-Saharan Africa (WB),Sudan,Tanzania,Togo,Tunisia,Uganda,World,Zambia,Zimbabwe
1980,% of population below the poverty line,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7,,,,,,,,,,,,,,,,,,,,,,,,,
1981,% of population below the poverty line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,
1982,% of population below the poverty line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,,
1983,% of population below the poverty line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,,
1984,% of population below the poverty line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,,,,,,,,,,,,,,,,,,41.1,,
1985,% of population below the poverty line,,,,41.8,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,47.8,,,,,,,,,,,,13.0,,39.7,,
1986,% of population below the poverty line,,,,,,,,,,,,,4.4,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,38.3,,
1987,% of population below the poverty line,,,,,,,,,,,,,9.4,,,,,,,,58.4,,,,,,,,,41.4,,,,,,,,,,,,,,,,,,,,37.5,,
1988,% of population below the poverty line,6.4,,,,,,,,,,,,13.4,,,,,,,,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,,
1989,% of population below the poverty line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.7,38.2,,
