year,Bilateral (China),Bilateral (excl. China),Multilateral,Private (China),Private (excl. China),source
2009,679.81,4428.32,5163.94,42.56,8230.53,World Bank IDS
2010,619.46,4804.58,4504.27,172.7,7181.48,World Bank IDS
2011,794.48,4724.16,5070.38,641.91,8850.4,World Bank IDS
2012,938.34,5164.45,5029.08,1014.5,11191.38,World Bank IDS
2013,1375.25,5262.29,5675.42,1437.72,15531.29,World Bank IDS
2014,1728.08,5384.86,5892.16,1669.18,16216.72,World Bank IDS
2015,1763.58,5701.96,6067.14,1994.54,23448.67,World Bank IDS
2016,2307.8,8025.78,6525.17,3660.07,15889.64,World Bank IDS
2017,2726.68,7268.92,7287.8,3278.1,17903.44,World Bank IDS
2018,4014.95,6698.92,10183.45,3567.38,30124.04,World Bank IDS
2019,5466.3,7382.57,11229.77,3683.58,25313.35,World Bank IDS
2020,4893.02,7875.75,10819.19,2414.42,30810.55,World Bank IDS
2021,4867.24,10632.7,14619.38,1537.91,37074.01,World Bank IDS
2022,6107.14,6712.18,14106.66,3092.09,37419.12,World Bank IDS
2023,6732.44,7189.11,17366.18,4655.53,32501.35,World Bank IDS
2024,11940.32,13058.88,24225.18,6218.1,46858.29,World Bank IDS
2025,11046.53,8427.11,23607.26,5576.76,39718.4,World Bank IDS
2026,9882.97,10837.72,22476.54,5117.87,35243.9,World Bank IDS
2027,9381.41,7534.9,22487.1,4850.34,32306.16,World Bank IDS
2028,9664.43,7413.19,22297.76,2863.8,31545.84,World Bank IDS
