date,value,value_high,value_low,iso_code,indicator
2022-09-08,36656674,36656674,36656674,AFG,people_with_insufficient_food_consumption
2022-09-09,36577822,36577822,36577822,AFG,people_with_insufficient_food_consumption
2022-09-10,36645344,36645344,36645344,AFG,people_with_insufficient_food_consumption
2022-09-11,36694549,36694549,36694549,AFG,people_with_insufficient_food_consumption
2022-09-12,36670032,36670032,36670032,AFG,people_with_insufficient_food_consumption
2022-09-13,36673815,36673815,36673815,AFG,people_with_insufficient_food_consumption
2022-09-14,36701613,36701613,36701613,AFG,people_with_insufficient_food_consumption
2022-09-15,36680662,36680662,36680662,AFG,people_with_insufficient_food_consumption
2022-09-16,36623630,36623630,36623630,AFG,people_with_insufficient_food_consumption
2022-09-17,36628390,36628390,36628390,AFG,people_with_insufficient_food_consumption
2022-09-18,36752062,36752062,36752062,AFG,people_with_insufficient_food_consumption
2022-09-19,36757259,36757259,36757259,AFG,people_with_insufficient_food_consumption
2022-09-20,36760963,36760963,36760963,AFG,people_with_insufficient_food_consumption
2022-09-21,36733570,36733570,36733570,AFG,people_with_insufficient_food_consumption
2022-09-22,36678245,36678245,36678245,AFG,people_with_insufficient_food_consumption
2022-09-23,36547026,36547026,36547026,AFG,people_with_insufficient_food_consumption
2022-09-24,36613557,36613557,36613557,AFG,people_with_insufficient_food_consumption
2022-09-25,36525510,36525510,36525510,AFG,people_with_insufficient_food_consumption
2022-09-26,36429124,36429124,36429124,AFG,people_with_insufficient_food_consumption
2022-09-27,36474799,36474799,36474799,AFG,people_with_insufficient_food_consumption
2022-09-28,36316088,36316088,36316088,AFG,people_with_insufficient_food_consumption
2022-09-29,36345565,36345565,36345565,AFG,people_with_insufficient_food_consumption
2022-09-30,36359054,36359054,36359054,AFG,people_with_insufficient_food_consumption
2022-10-01,36382670,36382670,36382670,AFG,people_with_insufficient_food_consumption
2022-10-02,36106190,36106190,36106190,AFG,people_with_insufficient_food_consumption
2022-10-03,36045602,36045602,36045602,AFG,people_with_insufficient_food_consumption
2022-10-04,36175401,36175401,36175401,AFG,people_with_insufficient_food_consumption
2022-10-05,36277054,36277054,36277054,AFG,people_with_insufficient_food_consumption
2022-10-06,36365163,36365163,36365163,AFG,people_with_insufficient_food_consumption
2022-10-07,36391208,36391208,36391208,AFG,people_with_insufficient_food_consumption
2022-10-08,36275135,36275135,36275135,AFG,people_with_insufficient_food_consumption
2022-10-09,36280200,36280200,36280200,AFG,people_with_insufficient_food_consumption
2022-10-10,36221709,36221709,36221709,AFG,people_with_insufficient_food_consumption
2022-10-11,36141984,36141984,36141984,AFG,people_with_insufficient_food_consumption
2022-10-12,35917420,35917420,35917420,AFG,people_with_insufficient_food_consumption
2022-10-13,35982163,35982163,35982163,AFG,people_with_insufficient_food_consumption
2022-10-14,35944266,35944266,35944266,AFG,people_with_insufficient_food_consumption
2022-10-15,36002923,36002923,36002923,AFG,people_with_insufficient_food_consumption
2022-10-16,36220032,36220032,36220032,AFG,people_with_insufficient_food_consumption
2022-10-17,36382300,36382300,36382300,AFG,people_with_insufficient_food_consumption
2022-10-18,36360738,36360738,36360738,AFG,people_with_insufficient_food_consumption
2022-10-19,36466019,36466019,36466019,AFG,people_with_insufficient_food_consumption
2022-10-20,36505411,36505411,36505411,AFG,people_with_insufficient_food_consumption
2022-10-21,36630296,36630296,36630296,AFG,people_with_insufficient_food_consumption
2022-10-22,36786378,36786378,36786378,AFG,people_with_insufficient_food_consumption
2022-10-23,36874639,36874639,36874639,AFG,people_with_insufficient_food_consumption
2022-10-24,36790983,36790983,36790983,AFG,people_with_insufficient_food_consumption
2022-10-25,37020457,37020457,37020457,AFG,people_with_insufficient_food_consumption
2022-10-26,37100569,37100569,37100569,AFG,people_with_insufficient_food_consumption
2022-10-27,36890212,36890212,36890212,AFG,people_with_insufficient_food_consumption
