Year,Donor,COVID ODA,IDRC,ODA to Ukraine,Other ODA,Total ODA
2015,"DAC Countries, Total",,13914.4,1636.4,135628.7,151179.5
2016,"DAC Countries, Total",,18453.8,1569.4,147621.3,167644.5
2017,"DAC Countries, Total",,15983.6,1251.8,149514.5,166749.9
2018,"DAC Countries, Total",,11650.7,1266.9,153200.5,166118.1
2019,"DAC Countries, Total",,10597.2,1396.5,154970.7,166964.4
2020,"DAC Countries, Total",13735.2,9362.4,2157.3,148472.5,173727.4
2021,"DAC Countries, Total",14773.1,12983.8,2027.2,158390.1,188174.2
2022,"DAC Countries, Total",12251.7,32355.7,23632.2,151577.3,219816.9
2023,"DAC Countries, Total",3858.0,,26855.4,193007.1,223720.5
2015,Austria,,539.1,21.0,1065.2,1625.3
2015,Belgium,,275.3,12.7,2009.9,2297.9
2015,Denmark,,450.9,33.0,2430.4,2914.3
2015,France,,413.9,65.8,9816.3,10296.0
2015,Germany,,3703.2,510.6,17795.7,22009.5
2015,Italy,,1099.3,35.6,3342.1,4477.0
2015,Netherlands,,1649.1,17.3,5455.7,7122.1
2015,Norway,,506.9,46.4,4130.7,4684.0
2015,Portugal,,3.4,2.8,369.0,375.2
2015,Sweden,,2427.5,42.2,4711.1,7180.8
2015,Switzerland,,553.4,36.2,3335.2000000000003,3924.8
2015,United Kingdom,,406.6,85.8,18824.5,19316.9
2015,Finland,,45.5,12.8,1441.8,1500.1
2015,Iceland,,6.4,0.4,47.4,54.2
2015,Ireland,,0.7,3.9,807.0,811.6
2015,Luxembourg,,,1.6,459.0,460.6
2015,Greece,,66.5,4.9,195.7,267.1
2015,Spain,,37.5,20.7,1562.8,1621.0
2015,Slovenia,,8.9,1.0,69.6,79.5
2015,Czechia,,21.7,8.4,276.0,306.1
2015,Slovak Republic,,2.2,4.1,100.2,106.5
2015,Hungary,,13.0,4.8,191.1,208.9
2015,Poland,,11.9,42.9,509.6,564.4
2015,Estonia,,0.8,4.5,45.0,50.3
2015,Lithuania,,1.2,3.3,67.9,72.4
2015,Canada,,254.1,268.3,4581.4,5103.8
2015,United States,,1512.1,325.5,37138.8,38976.4
2015,Japan,,0.2,15.5,8350.8,8366.5
2015,Korea,,,1.8,1855.3,1857.1
2015,Australia,,,2.5,4053.6,4056.1
2015,New Zealand,,18.8,0.1,479.5,498.4
2016,Austria,,721.0,22.8,1234.3,1978.1
2016,Belgium,,446.6,24.5,2260.8,2731.9
2016,Denmark,,466.7,13.8,2206.0,2686.5
2016,France,,530.3,101.5,10303.9,10935.7
2016,Germany,,7997.5,308.2,21735.5,30041.2
2016,Italy,,1847.1,64.2,3731.6,5642.9
2016,Netherlands,,538.9,31.0,5598.7,6168.6
2016,Norway,,927.2,19.5,4130.3,5077.0
2016,Portugal,,5.2,5.8,401.1,412.1
2016,Sweden,,831.5,45.7,4076.4,4953.6
2016,Switzerland,,792.0,37.5,3273.6,4103.1
2016,United Kingdom,,663.6,119.4,20087.4,20870.4
2016,Finland,,152.0,13.8,1071.1,1236.9
2016,Iceland,,19.1,0.0,52.4,71.5
2016,Ireland,,1.2,8.5,902.5,912.2
2016,Luxembourg,,,2.7,501.90000000000003,504.6
2016,Greece,,165.5,5.9,244.70000000000002,416.1
2016,Spain,,102.8,53.1,4745.4,4901.3
2016,Slovenia,,9.0,1.6,91.0,101.6
2016,Czechia,,27.2,10.7,355.4,393.3
2016,Slovak Republic,,2.0,4.4,127.69999999999999,134.1
2016,Hungary,,13.1,6.6,246.4,266.1
2016,Poland,,7.7,46.4,832.1999999999999,886.3
2016,Estonia,,3.6,4.5,55.199999999999996,63.3
2016,Lithuania,,2.2,6.2,76.5,84.9
2016,Canada,,479.4,67.9,4279.1,4826.4
2016,United States,,2120.5,255.6,40514.2,42890.3
2016,Japan,,0.2,283.2,8196.6,8480.0
2016,Korea,,,0.9,2189.7,2190.6
2016,Australia,,,3.2,3804.1000000000004,3807.3
2016,New Zealand,,18.6,0.2,477.09999999999997,495.9
2017,Austria,,180.1,29.3,1260.8,1470.2
2017,Belgium,,361.6,18.4,2132.7,2512.7
2017,Denmark,,128.7,21.0,2541.2,2690.9
2017,France,,690.7,76.9,11801.1,12568.7
2017,Germany,,7110.5,310.8,21927.1,29348.4
2017,Italy,,1948.8,47.5,4331.9,6328.2
2017,Netherlands,,1004.9,20.6,4938.9,5964.4
2017,Norway,,164.4,29.0,4329.8,4523.2
2017,Portugal,,6.7,4.2,431.1,442.0
2017,Sweden,,820.4,44.6,4645.8,5510.8
2017,Switzerland,,379.1,32.8,3204.1,3616.0
2017,United Kingdom,,585.0,70.9,20866.7,21522.6
2017,Finland,,87.9,14.2,1128.9,1231.0
2017,Iceland,,23.6,0.0,49.3,72.9
2017,Ireland,,45.1,5.4,877.7,928.2
2017,Luxembourg,,,2.2,522.3,524.5
2017,Greece,,75.2,4.5,266.6,346.3
2017,Spain,,243.8,53.6,2579.8,2877.2
2017,Slovenia,,1.1,1.3,89.2,91.6
2017,Czechia,,31.0,9.1,394.0,434.1
2017,Slovak Republic,,1.6,4.2,140.4,146.2
2017,Hungary,,4.2,4.7,177.3,186.2
2017,Poland,,7.5,86.5,762.5,856.5
2017,Estonia,,3.7,4.4,51.1,59.2
2017,Lithuania,,1.7,2.7,78.4,82.8
2017,Canada,,547.5,47.6,4452.7,5047.8
2017,United States,,1782.6,297.8,40436.0,42516.4
2017,Japan,,0.2,5.5,9622.4,9628.1
2017,Korea,,,1.0,2045.0,2046.0
2017,Australia,,,0.8,3303.1,3303.9
2017,New Zealand,,18.3,0.1,455.59999999999997,474.0
2018,Austria,,68.1,29.1,1190.8,1288.0
2018,Belgium,,263.1,17.4,2207.1,2487.6
2018,Denmark,,70.1,26.8,2605.5,2702.4
2018,France,,840.9,77.7,11812.4,12731.0
2018,Germany,,4254.9,333.3,22861.8,27450.0
2018,Italy,,1148.2,52.1,4097.7,5298.0
2018,Netherlands,,644.3,23.2,5682.1,6349.6
2018,Norway,,102.8,25.4,4173.5,4301.7
2018,Portugal,,10.4,4.3,433.3,448.0
2018,Sweden,,516.2,48.3,5339.3,5903.8
2018,Switzerland,,319.1,35.5,3156.9,3511.5
2018,United Kingdom,,555.6,92.7,21206.0,21854.3
2018,Finland,,60.6,11.2,974.6999999999999,1046.5
2018,Iceland,,11.8,0.1,66.3,78.2
2018,Ireland,,58.9,5.3,912.7,976.9
2018,Luxembourg,,,2.2,547.5,549.7
2018,Greece,,29.5,4.8,272.6,306.9
2018,Spain,,292.1,51.7,2720.3,3064.1
2018,Slovenia,,2.8,2.3,89.3,94.4
2018,Czechia,,32.3,9.3,353.3,394.9
2018,Slovak Republic,,0.9,3.0,154.2,158.1
2018,Hungary,,4.3,9.5,321.3,335.1
2018,Poland,,7.4,90.6,813.4,911.4
2018,Estonia,,3.4,4.3,53.5,61.2
2018,Lithuania,,1.6,4.2,78.0,83.8
2018,Canada,,582.9,41.0,4766.8,5390.7
2018,United States,,1939.8,245.6,38685.0,40870.4
2018,Japan,,0.3,14.6,11697.1,11712.0
2018,Korea,,1.6,0.8,2120.2,2122.6
2018,Australia,,,0.5,3437.3,3437.8
2018,New Zealand,,18.1,0.1,575.3,593.5
2019,Austria,,35.2,27.9,1343.7,1406.8
2019,Belgium,,153.7,21.2,2249.4,2424.3
2019,Denmark,,58.9,36.6,2689.8,2785.3
2019,France,,1321.0,90.8,11923.4,13335.2
2019,Germany,,3443.9,316.3,23691.5,27451.7
