date,value,value_high,value_low,iso_code
2022-09-07,2788787,3265749,2333276,RWA
2022-09-08,2788599,3265749,2333276,RWA
2022-09-09,2788599,3265749,2333276,RWA
2022-09-10,2788599,3265749,2333276,RWA
2022-09-11,2791615,3263622,2335431,RWA
2022-09-12,2791615,3263622,2335431,RWA
2022-09-13,2791615,3263622,2335431,RWA
2022-09-14,2793378,3263622,2335431,RWA
2022-09-15,2793378,3263622,2335431,RWA
2022-09-16,2796008,3271091,2337662,RWA
2022-09-17,2793378,3271091,2337662,RWA
2022-09-18,2793378,3271091,2337662,RWA
2022-09-19,2796709,3286622,2337662,RWA
2022-09-20,2797664,3286622,2339479,RWA
2022-09-21,2793784,3282903,2339696,RWA
2022-09-22,2803136,3284680,2339696,RWA
2022-09-23,2803377,3281844,2339696,RWA
2022-09-24,2803377,3281844,2339696,RWA
2022-09-25,2803377,3281844,2339696,RWA
2022-09-26,2803377,3287049,2339819,RWA
2022-09-27,2789408,3285302,2338815,RWA
2022-09-28,2789408,3285302,2338815,RWA
2022-09-29,2793175,3288391,2341664,RWA
2022-09-30,2793175,3288391,2370780,RWA
2022-10-01,2836945,3328727,2425577,RWA
2022-10-02,2836945,3328727,2425577,RWA
2022-10-03,2836945,3328727,2425577,RWA
2022-10-04,2836945,3328727,2425577,RWA
2022-10-05,2836945,3328727,2425577,RWA
2022-10-06,2837262,3335380,2425942,RWA
2022-10-07,2837262,3335380,2425942,RWA
2022-10-08,2837338,3343211,2425942,RWA
2022-10-09,2837338,3343211,2425942,RWA
2022-10-10,2837338,3343211,2425942,RWA
2022-10-11,2838260,3341410,2422292,RWA
2022-10-12,3000004,3611384,2510103,RWA
2022-10-13,3000004,3611384,2510103,RWA
2022-10-14,2997986,3611384,2510103,RWA
2022-10-15,2999716,3625350,2509745,RWA
2022-10-16,3006742,3661056,2509745,RWA
2022-10-17,2999818,3586524,2502711,RWA
2022-10-18,3001513,3595168,2505003,RWA
2022-10-19,2997044,3595168,2505003,RWA
2022-10-20,2997129,3595168,2505003,RWA
2022-10-21,2997223,3601201,2505003,RWA
2022-10-22,2997878,3601197,2505003,RWA
2022-10-23,2997878,3601197,2505003,RWA
2022-10-24,2997878,3601197,2505003,RWA
2022-10-25,2997878,3601197,2504373,RWA
2022-10-26,2997628,3601197,2504373,RWA
2022-10-27,2997628,3606576,2504373,RWA
2022-10-28,2998571,3606549,2504373,RWA
2022-10-29,2998571,3606549,2504373,RWA
2022-10-30,2998571,3606549,2504373,RWA
2022-10-31,2998571,3606549,2504373,RWA
2022-11-01,3001554,3605542,2504373,RWA
2022-11-02,2994489,3611877,2504373,RWA
2022-11-03,2994489,3611902,2504373,RWA
2022-11-04,2998259,3611877,2504373,RWA
2022-11-05,2994489,3605542,2504373,RWA
2022-11-06,2994489,3605542,2504373,RWA
2022-11-07,2994489,3611877,2506983,RWA
2022-11-08,2994489,3609215,2506983,RWA
2022-11-09,2992795,3611877,2506157,RWA
2022-11-10,2991749,3611877,2505316,RWA
2022-11-11,3005044,3600393,2521968,RWA
2022-11-12,3006539,3602219,2510158,RWA
2022-11-13,3006539,3602219,2510158,RWA
2022-11-14,3006539,3602219,2510158,RWA
2022-11-15,3006539,3602219,2510158,RWA
2022-11-16,2999493,3611660,2515276,RWA
2022-11-17,2999493,3611660,2515276,RWA
2022-11-18,2999493,3605300,2515276,RWA
2022-11-19,2999482,3611660,2515276,RWA
2022-11-20,2999493,3605300,2515276,RWA
2022-11-21,2999035,3607978,2513842,RWA
2022-11-22,2999035,3607978,2513842,RWA
2022-11-23,2997378,3616012,2518207,RWA
2022-11-24,2997065,3606613,2518207,RWA
2022-11-25,2998120,3606613,2518207,RWA
2022-11-26,3000090,3607978,2513842,RWA
2022-11-27,3000090,3607978,2513842,RWA
2022-11-28,2996084,3603624,2506563,RWA
2022-11-29,2996983,3603624,2506563,RWA
2022-11-30,2996983,3603624,2506563,RWA
2022-12-01,2992521,3600288,2512287,RWA
2022-12-02,2992521,3600288,2512287,RWA
2022-12-03,2999849,3599766,2516363,RWA
2022-12-04,2999849,3599766,2516363,RWA
2022-12-05,2999849,3599766,2516363,RWA
2022-12-06,3006069,3602097,2514769,RWA
2022-12-07,3006069,3602097,2514769,RWA
