date,value,value_high,value_low,iso_code
2022-09-14,559196,659494,446292,TLS
2022-09-15,559196,659494,446292,TLS
2022-09-16,559196,659494,446292,TLS
2022-09-17,559196,659494,446292,TLS
2022-09-18,559196,659494,446292,TLS
2022-09-19,559196,659494,446292,TLS
2022-09-20,559196,659494,446292,TLS
2022-09-21,558993,661049,447224,TLS
2022-09-22,558993,661049,447224,TLS
2022-09-23,558993,661049,447224,TLS
2022-09-24,558993,661049,447224,TLS
2022-09-25,558993,661049,447224,TLS
2022-09-26,558993,661049,447224,TLS
2022-09-27,558993,661049,447224,TLS
2022-09-28,558993,661049,447224,TLS
2022-09-29,558993,661049,447224,TLS
2022-09-30,558993,661049,447224,TLS
2022-10-01,574400,670548,465506,TLS
2022-10-02,574400,670548,465506,TLS
2022-10-03,574400,670548,465506,TLS
2022-10-04,574400,670548,465506,TLS
2022-10-05,574400,670548,465506,TLS
2022-10-06,563803,665090,450493,TLS
2022-10-07,563803,665090,450493,TLS
2022-10-08,563803,665090,450493,TLS
2022-10-09,563803,665090,450493,TLS
2022-10-10,563803,665090,450493,TLS
2022-10-11,568673,667803,457652,TLS
2022-10-12,568673,667803,457652,TLS
2022-10-13,568673,667803,457652,TLS
2022-10-14,568673,667803,457652,TLS
2022-10-15,557572,655884,446075,TLS
2022-10-16,557572,655884,446075,TLS
2022-10-17,557572,655884,446075,TLS
2022-10-18,557572,655884,446075,TLS
2022-10-19,557572,655884,446075,TLS
2022-10-20,557572,655884,446075,TLS
2022-10-21,557716,656472,447183,TLS
2022-10-22,557716,656472,447183,TLS
2022-10-23,557716,656472,447183,TLS
2022-10-24,557716,656472,447183,TLS
2022-10-25,557716,656472,447183,TLS
2022-10-26,557716,656472,447183,TLS
2022-10-27,557716,656472,447183,TLS
2022-10-28,556126,655057,446166,TLS
2022-10-29,556126,655057,446166,TLS
2022-10-30,556126,655057,446166,TLS
2022-10-31,556126,655057,446166,TLS
2022-11-01,555511,653698,444765,TLS
2022-11-02,555511,653698,444765,TLS
2022-11-03,555511,653698,444765,TLS
2022-11-04,555511,653698,444765,TLS
2022-11-05,555511,653698,444765,TLS
2022-11-06,555511,653698,444765,TLS
2022-11-07,555511,653698,444765,TLS
2022-11-08,555511,653698,444765,TLS
2022-11-09,555511,653698,444765,TLS
2022-11-10,555511,653698,444765,TLS
2022-11-11,554581,653490,443136,TLS
2022-11-12,554581,653490,443136,TLS
2022-11-13,554581,653490,443136,TLS
2022-11-14,554581,653490,443136,TLS
2022-11-15,554581,653490,443136,TLS
2022-11-16,555160,653698,443629,TLS
2022-11-17,555160,653698,443629,TLS
2022-11-18,555160,653698,443629,TLS
2022-11-19,555160,653698,443629,TLS
2022-11-20,555160,653698,443629,TLS
2022-11-21,556319,656431,443908,TLS
2022-11-22,556319,656431,443908,TLS
2022-11-23,556319,656431,443908,TLS
2022-11-24,556319,656431,443908,TLS
2022-11-25,554193,654051,441976,TLS
2022-11-26,554193,654051,441976,TLS
2022-11-27,554193,654051,441976,TLS
2022-11-28,554193,654051,442000,TLS
2022-11-29,554193,654051,442000,TLS
2022-11-30,554193,654051,442000,TLS
2022-12-01,553960,654051,442000,TLS
2022-12-02,553960,654051,442000,TLS
2022-12-03,553960,654051,442000,TLS
2022-12-04,553960,654051,442000,TLS
2022-12-05,553960,654051,442000,TLS
2022-12-06,553252,651288,441778,TLS
2022-12-07,553252,651288,441778,TLS
2022-12-08,553252,651288,441778,TLS
2022-12-09,553252,651288,441778,TLS
2022-12-10,553252,651288,441778,TLS
2022-12-11,553606,653490,441778,TLS
2022-12-12,553606,653490,441778,TLS
2022-12-13,553606,653490,441778,TLS
2022-12-14,553606,653490,441778,TLS
