date,value,value_high,value_low,iso_code
2022-10-06,3673585,4449713,3167493,UZB
2022-10-07,3673585,4449713,3167493,UZB
2022-10-08,3673585,4449713,3167493,UZB
2022-10-09,3672014,4449713,3166936,UZB
2022-10-10,3672014,4449713,3166936,UZB
2022-10-11,3677202,4439376,3167027,UZB
2022-10-12,3677202,4439376,3167027,UZB
2022-10-13,3677202,4439376,3167027,UZB
2022-10-14,3677202,4439376,3167027,UZB
2022-10-15,3672017,4449856,3161687,UZB
2022-10-16,3672516,4449856,3158929,UZB
2022-10-17,3672516,4449856,3158929,UZB
2022-10-18,3673711,4449856,3158929,UZB
2022-10-19,3675551,4449856,3158929,UZB
2022-10-20,3675551,4449856,3160512,UZB
2022-10-21,3677430,4447288,3160325,UZB
2022-10-22,3677430,4447288,3160325,UZB
2022-10-23,3677430,4447288,3160325,UZB
2022-10-24,3677430,4447288,3160325,UZB
2022-10-25,3677430,4447288,3160325,UZB
2022-10-26,3668038,4439860,3156656,UZB
2022-10-27,3668038,4439860,3156656,UZB
2022-10-28,3669011,4444583,3162115,UZB
2022-10-29,3670145,4444583,3162115,UZB
2022-10-30,3670145,4444583,3162115,UZB
2022-10-31,3670145,4444583,3162115,UZB
2022-11-01,3669694,4438865,3156472,UZB
2022-11-02,3669702,4437460,3128006,UZB
2022-11-03,3670749,4437460,3128006,UZB
2022-11-04,3670749,4437460,3128006,UZB
2022-11-05,3668934,4437085,3125774,UZB
2022-11-06,3666936,4436962,3124803,UZB
2022-11-07,3661914,4436962,3124803,UZB
2022-11-08,3659937,4436962,3124803,UZB
2022-11-09,3658166,4436962,3124803,UZB
2022-11-10,3657961,4436962,3124803,UZB
2022-11-11,3655567,4416083,3132888,UZB
2022-11-12,3652220,4406382,3132888,UZB
2022-11-13,3651288,4403003,3132888,UZB
2022-11-14,3649762,4367893,3132888,UZB
2022-11-15,3649762,4367893,3132888,UZB
2022-11-16,3649235,4367706,3130883,UZB
2022-11-17,3648161,4367706,3130883,UZB
2022-11-18,3647273,4367706,3130883,UZB
2022-11-19,3647575,4367706,3130883,UZB
2022-11-20,3645494,4367765,3130883,UZB
2022-11-21,3643985,4361968,3122849,UZB
2022-11-22,3634268,4348260,3082618,UZB
2022-11-23,3586361,4318716,3033802,UZB
2022-11-24,3563539,4303218,3029150,UZB
2022-11-25,3574016,4301993,3030934,UZB
2022-11-26,3573200,4301993,3030934,UZB
2022-11-27,3566167,4294602,3025435,UZB
2022-11-28,3566167,4294602,3025435,UZB
2022-11-29,3566167,4294602,3025435,UZB
2022-11-30,3566167,4294602,3025435,UZB
2022-12-01,3565700,4291449,3027312,UZB
2022-12-02,3565700,4291449,3027312,UZB
2022-12-03,3565700,4291449,3027312,UZB
2022-12-04,3566733,4291449,3027312,UZB
2022-12-05,3566733,4291449,3027312,UZB
2022-12-06,3569458,4292777,3026915,UZB
2022-12-07,3603532,4310472,3027164,UZB
2022-12-08,3603532,4310472,3027164,UZB
2022-12-09,3603592,4340955,3027164,UZB
2022-12-10,3603592,4340955,3027164,UZB
2022-12-11,3605999,4337551,3029434,UZB
2022-12-12,3605999,4337551,3029434,UZB
2022-12-13,3605999,4337551,3029434,UZB
2022-12-14,3605999,4337551,3029434,UZB
2022-12-15,3657623,4383744,3030800,UZB
2022-12-16,3663801,4389696,3030800,UZB
2022-12-17,3663801,4389696,3030800,UZB
2022-12-18,3663801,4389696,3030800,UZB
2022-12-19,3663801,4389696,3030800,UZB
2022-12-20,3666875,4390734,3030800,UZB
2022-12-21,3665599,4391113,3029454,UZB
2022-12-22,3687398,4438157,3079861,UZB
2022-12-23,3686634,4434320,3079861,UZB
2022-12-24,3687398,4438157,3079861,UZB
2022-12-25,3665599,4391113,3029454,UZB
2022-12-26,3665599,4391113,3029454,UZB
2022-12-27,3687398,4438157,3079861,UZB
2022-12-28,3687398,4438157,3079861,UZB
2022-12-29,3686634,4434320,3079861,UZB
2022-12-30,3686634,4434320,3079861,UZB
2022-12-31,3687233,4432892,3078970,UZB
2023-01-01,3687987,4436060,3077212,UZB
2023-01-02,3687987,4436060,3077212,UZB
2023-01-03,3687987,4436060,3077212,UZB
2023-01-04,3687987,4436060,3077212,UZB
2023-01-05,3686249,4433574,3080168,UZB
2023-01-06,3686249,4433574,3080168,UZB
