date,value,value_high,value_low,iso_code
2022-11-07,6717502,8520131,5231206,GHA
2022-11-08,6717502,8520131,5231206,GHA
2022-11-09,6711903,8511817,5230764,GHA
2022-11-10,6711903,8511817,5230764,GHA
2022-11-11,6712316,8551817,5290348,GHA
2022-11-12,6712316,8551817,5290348,GHA
2022-11-13,6712316,8551817,5290348,GHA
2022-11-14,6712316,8551817,5290348,GHA
2022-11-15,6712316,8551817,5290348,GHA
2022-11-16,6727517,8581072,5292881,GHA
2022-11-17,6727517,8581072,5292881,GHA
2022-11-18,6730570,8547474,5297735,GHA
2022-11-19,6737744,8552220,5296431,GHA
2022-11-20,6764545,8583192,5321026,GHA
2022-11-21,6747945,8535789,5325576,GHA
2022-11-22,6747945,8545538,5325576,GHA
2022-11-23,6765315,8560766,5316697,GHA
2023-02-21,9173166,11426660,7314152,GHA
2022-11-24,6765315,8560766,5316697,GHA
2022-11-25,6808201,8595244,5354658,GHA
2022-11-26,6808201,8595244,5354658,GHA
2022-11-27,6808201,8595244,5354658,GHA
2022-11-28,6765932,8466069,5330966,GHA
2022-11-29,6765932,8466069,5330966,GHA
2022-11-30,6765932,8466069,5330966,GHA
2022-12-01,6706262,8465012,5332384,GHA
2022-12-02,6706262,8465012,5332384,GHA
2022-12-03,6717958,8535833,5331641,GHA
2022-12-04,6717958,8535833,5331641,GHA
2022-12-05,6717958,8535833,5331641,GHA
2022-12-06,6721263,8548878,5327051,GHA
2022-12-07,6721263,8548878,5327051,GHA
2022-12-08,6892780,8679894,5368631,GHA
2022-12-09,6859140,8646299,5342153,GHA
2022-12-10,6859140,8646299,5342153,GHA
2022-12-11,6813949,8637734,5343463,GHA
2022-12-12,6863084,8646921,5355023,GHA
2022-12-13,6901672,8680516,5380109,GHA
2022-12-14,6901672,8680516,5380109,GHA
2022-12-15,6837134,8609703,5393491,GHA
2022-12-16,6901672,8680516,5428898,GHA
2022-12-17,6901672,8680516,5428898,GHA
2022-12-18,6901672,8680516,5428898,GHA
2022-12-19,6863084,8646921,5393491,GHA
2022-12-20,6863084,8646921,5393491,GHA
2022-12-21,6923852,8735345,5463407,GHA
2022-12-22,6885264,8701750,5428000,GHA
2022-12-23,6908767,8711621,5425181,GHA
2022-12-24,6923852,8735345,5463407,GHA
2022-12-25,6852095,8701545,5416413,GHA
2022-12-26,6923852,8735345,5463407,GHA
2022-12-27,6920751,8728023,5454760,GHA
2022-12-28,6923852,8735345,5463407,GHA
2022-12-29,6921541,8733996,5457694,GHA
2022-12-30,6921541,8733996,5457694,GHA
2022-12-31,6907075,8699564,5436672,GHA
2023-01-01,6785169,8612446,5374671,GHA
2023-01-02,6785169,8612446,5374671,GHA
2023-01-03,6785169,8612446,5374671,GHA
2023-01-04,6782114,8612446,5373550,GHA
2023-01-05,6763294,8593922,5378434,GHA
2023-01-06,6763294,8593922,5378434,GHA
2023-01-07,6733964,8480275,5338161,GHA
2023-01-08,6733964,8480275,5338161,GHA
2023-01-09,6733964,8480275,5338161,GHA
2023-01-10,6733964,8480275,5338161,GHA
2023-01-11,6759950,8526834,5340623,GHA
2023-01-12,6759950,8526834,5340623,GHA
2023-01-13,6759950,8526834,5340623,GHA
2023-04-13,7869654,9700397,6101427,GHA
2023-01-14,6759950,8526834,5340623,GHA
2023-01-15,6759950,8526834,5340623,GHA
2023-01-16,6759950,8526834,5340623,GHA
2023-01-17,6741857,8522499,5341933,GHA
2023-01-18,6741857,8522499,5341933,GHA
2023-01-19,6721819,8522499,5318599,GHA
2023-01-20,6721819,8522499,5318599,GHA
2023-01-21,6735227,8535471,5323924,GHA
2023-01-22,6735227,8535471,5323924,GHA
2023-01-23,6735227,8535471,5323924,GHA
2023-01-24,6738961,8553349,5336806,GHA
2023-01-25,6738961,8534241,5336806,GHA
2023-01-26,6732263,8534241,5318255,GHA
2023-01-27,7106578,8977756,5544293,GHA
2023-01-28,7106218,8972146,5544968,GHA
2023-01-29,7095476,8918021,5526525,GHA
2023-01-30,6912604,8645146,5412168,GHA
2023-01-31,7103552,9006590,5510715,GHA
2023-02-01,7406631,9413623,5668053,GHA
2023-02-02,7406674,9412721,5665219,GHA
2023-02-03,7288253,9248663,5583355,GHA
2023-02-04,7287892,9244223,5583355,GHA
2023-02-05,7381421,9304120,5658754,GHA
2023-02-06,7449830,9330810,5715381,GHA
2023-02-07,7397374,9270914,5718442,GHA
2023-02-08,7600437,9500266,5894432,GHA
2023-02-09,7649242,9576556,5915112,GHA
2023-02-10,7636229,9545583,5905224,GHA
2023-02-11,7634993,9469615,5932088,GHA
2023-02-12,7610783,9383538,5903366,GHA
2023-02-13,7475988,9271869,5791067,GHA
2023-02-14,7503415,9239117,5810906,GHA
2023-02-15,7695037,9401547,5973456,GHA
2023-02-16,7683484,9421950,5924030,GHA
2023-02-17,7663036,9403480,5901419,GHA
2023-02-18,7680342,9413279,5919997,GHA
2023-02-19,7879104,9609492,6165766,GHA
2023-02-20,7932587,9643325,6179213,GHA
2023-02-21,8920095,11140145,6957811,GHA
2023-02-22,8990471,11194665,7095573,GHA
2023-02-23,9004200,11186743,7121282,GHA
2023-05-13,7440467,9168417,5837408,GHA
2023-05-14,7459038,9162115,5846662,GHA
2023-05-15,7474773,9183257,5858010,GHA
2023-05-16,7389278,9126405,5820745,GHA
2023-05-17,7381585,9130871,5789210,GHA
2023-05-18,7386224,9131595,5795735,GHA
2023-05-19,7310022,9099823,5785966,GHA
2023-05-20,7307093,9099823,5785294,GHA
2023-05-21,7320132,9098131,5820837,GHA
2023-05-22,7403353,9122266,5818511,GHA
2023-05-23,7403353,9122266,5818511,GHA
2023-02-24,9005816,11191008,7090467,GHA
2023-02-25,8997369,11180592,7060216,GHA
2023-02-26,8990686,11221845,7057639,GHA
2023-02-27,9005866,11294258,7065493,GHA
2023-02-28,9022598,11297488,7108469,GHA
2023-03-01,8922629,11236995,7101602,GHA
2023-03-02,8925078,11236995,7075446,GHA
2023-03-03,8925078,11236995,7101602,GHA
2023-03-04,8928697,11231509,7103601,GHA
2023-03-05,8353115,10448773,6716772,GHA
2023-03-06,8353115,10448773,6716772,GHA
2023-03-07,8353115,10448773,6716772,GHA
2023-03-08,8353115,10448773,6716772,GHA
2023-03-09,8364402,10527033,6802558,GHA
2023-03-10,8364402,10527033,6802558,GHA
2023-03-11,8345780,10540807,6728755,GHA
2023-03-12,8325173,10425886,6689097,GHA
2023-03-13,8325173,10425886,6689097,GHA
2023-03-14,8359126,10409760,6693660,GHA
2023-03-15,8359126,10409760,6693660,GHA
2023-03-16,8361225,10409760,6727592,GHA
2023-03-17,8361225,10409760,6727592,GHA
2023-03-18,8361225,10409760,6727592,GHA
2023-03-19,8354608,10409760,6743756,GHA
2023-03-20,8380378,10424121,6758865,GHA
2023-03-21,8377606,10415261,6758865,GHA
2023-03-22,8376943,10388800,6751407,GHA
2023-03-23,8340788,10323476,6743401,GHA
2023-03-24,8340788,10323476,6743401,GHA
2023-03-25,8296376,10381244,6738125,GHA
2023-03-26,8297551,10381244,6740451,GHA
2023-03-27,8300628,10342080,6746396,GHA
2023-03-28,8556616,10616056,6917510,GHA
2023-03-29,8566682,10623794,6931405,GHA
2023-03-30,8495890,10557313,6828955,GHA
2023-03-31,8427047,10432593,6738709,GHA
2023-04-01,9062003,11308304,7290844,GHA
2023-04-02,9003274,11215799,7077559,GHA
2023-04-03,8959270,11170554,6985207,GHA
2023-04-04,8164752,9986746,6418690,GHA
2023-04-05,7981942,9740942,6202111,GHA
2023-04-06,7996445,9741922,6248160,GHA
2023-04-07,7926538,9724704,6191409,GHA
2023-04-08,8121289,10002622,6452603,GHA
2023-04-09,8035039,9931828,6274319,GHA
2023-04-10,7938929,9729282,6143641,GHA
2023-04-11,7925874,9712120,6150436,GHA
2023-04-12,7939324,9734375,6156300,GHA
2023-04-13,8039211,9863369,6261371,GHA
2023-04-14,8039211,9863369,6261371,GHA
2023-04-15,8672037,10937358,6907406,GHA
2023-04-16,8549447,10914434,6821571,GHA
2023-04-17,8199165,10057361,6481414,GHA
2023-04-18,7929015,9754518,6146917,GHA
2023-04-19,7684075,9445907,6099571,GHA
2023-04-20,7733295,9455485,6145885,GHA
2023-04-21,7733295,9455485,6145885,GHA
2023-04-22,7665748,9399153,6088511,GHA
2023-04-23,7661935,9403995,6083711,GHA
2023-04-24,7716508,9404363,6134161,GHA
2023-04-25,7649028,9379800,6069311,GHA
2023-04-26,7711761,9412837,6109372,GHA
2023-04-27,7594755,9332578,6008000,GHA
2023-04-28,7594755,9334671,6008000,GHA
