date,value,value_high,value_low,iso_code
2022-11-07,360334,431759,305297,GMB
2022-11-08,360334,431759,305297,GMB
2022-11-09,360334,431759,305297,GMB
2022-11-10,360334,431759,305297,GMB
2022-11-11,360394,430832,305469,GMB
2022-11-12,360509,430832,305469,GMB
2022-11-13,360509,430832,305469,GMB
2022-11-14,360509,430832,305469,GMB
2022-11-15,360509,430832,305469,GMB
2022-11-16,361586,431097,307216,GMB
2022-11-17,361586,431097,307216,GMB
2022-11-18,361586,431097,307216,GMB
2022-11-19,361466,431097,305861,GMB
2022-11-20,361461,431097,305810,GMB
2022-11-21,362848,432384,303675,GMB
2022-11-22,361145,432260,298663,GMB
2022-11-23,361049,432260,298567,GMB
2023-02-21,716543,833000,612046,GMB
2022-11-24,361024,432260,296432,GMB
2022-11-25,361250,434002,296818,GMB
2022-11-26,361250,434002,296818,GMB
2022-11-27,359919,434002,295164,GMB
2022-11-28,359362,434002,295381,GMB
2022-11-29,359362,434002,295381,GMB
2022-11-30,359362,434002,295381,GMB
2022-12-01,358285,427657,295739,GMB
2022-12-02,358285,427657,295739,GMB
2022-12-03,358452,427985,295739,GMB
2022-12-04,355893,427657,293298,GMB
2022-12-05,356660,427985,294241,GMB
2022-12-06,356504,428781,293855,GMB
2022-12-07,360575,435496,301210,GMB
2022-12-08,361253,435496,301210,GMB
2022-12-09,360750,435496,301210,GMB
2022-12-10,360716,435302,301210,GMB
2022-12-11,360339,434841,300803,GMB
2022-12-12,360339,434841,300803,GMB
2022-12-13,360696,434747,300803,GMB
2022-12-14,360696,434747,300803,GMB
2022-12-15,360472,438774,301380,GMB
2022-12-16,360778,438774,301380,GMB
2022-12-17,360778,438774,301380,GMB
2022-12-18,360613,438774,301380,GMB
2022-12-19,360806,439188,302174,GMB
2022-12-20,359724,438454,301301,GMB
2022-12-21,359935,438164,301158,GMB
2022-12-22,359935,438164,301158,GMB
2022-12-23,359935,438164,301158,GMB
2022-12-24,359935,438164,301158,GMB
2022-12-25,359935,438164,301158,GMB
2022-12-26,359935,438164,301158,GMB
2022-12-27,360119,443287,301796,GMB
2022-12-28,360119,443287,301796,GMB
2022-12-29,361192,444945,301796,GMB
2022-12-30,361192,444945,301796,GMB
2022-12-31,361263,445673,304858,GMB
2023-01-01,583331,678066,509841,GMB
2023-01-02,583331,678066,509841,GMB
2023-01-03,583331,678066,509841,GMB
2023-01-04,583331,678066,509841,GMB
2023-01-05,583331,678066,509841,GMB
2023-01-06,583331,678066,509841,GMB
2023-01-07,583331,678066,509841,GMB
2023-01-08,583331,678066,509841,GMB
2023-01-09,583331,678066,509841,GMB
2023-01-10,583331,678066,509841,GMB
2023-01-11,583418,677500,509805,GMB
2023-01-12,583418,677500,509805,GMB
2023-01-13,583418,677500,509805,GMB
2023-04-13,589095,679708,514059,GMB
2023-01-14,583255,677500,509457,GMB
2023-01-15,583255,677500,509457,GMB
2023-01-16,583255,677500,509457,GMB
2023-01-17,583255,677500,509457,GMB
2023-01-18,583255,677500,509457,GMB
2023-01-19,583990,677974,510483,GMB
2023-01-20,584378,678106,510483,GMB
2023-01-21,585946,679813,511325,GMB
2023-01-22,585946,679813,511325,GMB
2023-01-23,585946,679813,511325,GMB
2023-01-24,585990,679575,511325,GMB
2023-01-25,585990,679717,511325,GMB
2023-01-26,585990,679717,511325,GMB
2023-01-27,585990,680059,511379,GMB
2023-01-28,585990,680059,511379,GMB
2023-01-29,585323,680059,511379,GMB
2023-01-30,580853,676726,503357,GMB
2023-01-31,580793,676726,503357,GMB
2023-02-01,586187,681451,505045,GMB
2023-02-02,587611,683572,506356,GMB
