date,value,value_high,value_low,iso_code
2022-11-07,6616820,7282253,5842481,SSD
2022-11-08,6617174,7282253,5842481,SSD
2022-11-09,6617174,7282253,5842481,SSD
2022-11-10,6617174,7282253,5842481,SSD
2022-11-11,6626770,7289840,5849336,SSD
2022-11-12,6626770,7289840,5849336,SSD
2022-11-13,6625734,7289567,5847522,SSD
2022-11-14,6611188,7276804,5845157,SSD
2022-11-15,6611188,7276804,5845157,SSD
2022-11-16,6611995,7276804,5845157,SSD
2022-11-17,6611995,7276804,5845157,SSD
2022-11-18,6619528,7287108,5845689,SSD
2022-11-19,6619341,7287108,5846924,SSD
2022-11-20,6537440,7229029,5772931,SSD
2022-11-21,6543556,7235079,5776701,SSD
2022-11-22,6543556,7235079,5776701,SSD
2022-11-23,6539707,7227699,5769677,SSD
2023-02-21,7000852,7478967,6530910,SSD
2022-11-24,6539726,7230735,5770194,SSD
2022-11-25,6552420,7253200,5780915,SSD
2022-11-26,6635471,7327021,5882734,SSD
2022-11-27,6635471,7328209,5882734,SSD
2022-11-28,6424964,7023839,5734035,SSD
2022-11-29,6424964,7023839,5734035,SSD
2022-11-30,6424964,7023839,5734035,SSD
2022-12-01,6432255,7025527,5749002,SSD
2022-12-02,6432255,7025527,5749002,SSD
2022-12-03,6679538,7341490,5930881,SSD
2022-12-04,6699413,7356632,5963197,SSD
2022-12-05,6688521,7347797,5956126,SSD
2022-12-06,6697064,7375092,5966346,SSD
2022-12-07,6697064,7375092,5966346,SSD
2022-12-08,6684335,7364391,5958782,SSD
2022-12-09,6696820,7375092,5966346,SSD
2022-12-10,6704908,7376816,5984395,SSD
2022-12-11,6697430,7356316,5931624,SSD
2022-12-12,6697675,7356316,5931624,SSD
2022-12-13,6686746,7346277,5924753,SSD
2022-12-14,6677138,7333784,5917161,SSD
2022-12-15,6684687,7342727,5924032,SSD
2022-12-16,6677138,7333784,5917161,SSD
2022-12-17,6672782,7313840,5907879,SSD
2022-12-18,6622308,7242587,5879596,SSD
2022-12-19,6635103,7250253,5888081,SSD
2022-12-20,6623216,7231541,5876612,SSD
2022-12-21,6584517,7242513,5880837,SSD
2022-12-22,6598278,7237467,5888472,SSD
2022-12-23,6598278,7237467,5888472,SSD
2022-12-24,6515774,7198573,5778461,SSD
2022-12-25,6526788,7200909,5783599,SSD
2022-12-26,6515774,7198573,5778461,SSD
2022-12-27,6526788,7200909,5783599,SSD
2022-12-28,6515774,7198573,5778461,SSD
2022-12-29,6515774,7198573,5777236,SSD
2022-12-30,6544632,7231224,5825028,SSD
2022-12-31,6472044,7131678,5723313,SSD
2023-01-01,6468370,7127907,5722545,SSD
2023-01-02,6468370,7127907,5722545,SSD
2023-01-03,6468370,7127907,5722545,SSD
2023-01-04,6468370,7127907,5722545,SSD
2023-01-05,6447009,7087645,5707612,SSD
2023-01-06,6521494,7157466,5811303,SSD
2023-01-07,6461979,7094361,5722168,SSD
2023-01-08,6461979,7094361,5722168,SSD
2023-01-09,6461979,7094361,5722168,SSD
2023-01-10,6449719,7090617,5706774,SSD
2023-01-11,6427985,7096970,5676186,SSD
2023-01-12,6427985,7096970,5676186,SSD
2023-01-13,6427985,7096970,5676186,SSD
2023-04-13,6535086,7123314,5903702,SSD
2023-01-14,6421616,7053480,5651913,SSD
2023-01-15,6410346,7062015,5665097,SSD
2023-01-16,6411757,7062015,5665097,SSD
2023-01-17,6230547,6865922,5075269,SSD
2023-01-18,6230547,6865922,5075269,SSD
2023-01-19,6230547,6865922,5075269,SSD
2023-01-20,6230547,6865922,5075269,SSD
2023-03-01,6630401,7138131,6057288,SSD
2023-03-02,6610983,7096649,5998517,SSD
2023-03-03,6750539,7225948,6161735,SSD
2023-03-04,6745544,7230124,6164169,SSD
2023-03-05,6766681,7252833,6202543,SSD
2023-03-06,6766681,7252833,6202543,SSD
2023-03-07,6770327,7253566,6202257,SSD
2023-03-08,6766865,7252827,6201549,SSD
2023-03-09,6745454,7224038,6188234,SSD
2023-03-10,6745454,7224038,6188234,SSD
2023-03-11,6695994,7205322,6117558,SSD
2023-03-12,6657692,7151755,6048030,SSD
2023-03-13,6657863,7152286,6056517,SSD
2023-03-14,6729744,7202808,6096688,SSD
2023-03-15,6729744,7202808,6096688,SSD
2023-03-16,6729827,7202808,6096688,SSD
2023-03-17,6728401,7203696,6094822,SSD
2023-03-18,6728401,7203696,6094822,SSD
2023-03-19,6727247,7203696,6094822,SSD
2023-03-20,6727247,7203696,6094822,SSD
2023-03-21,6779369,7242228,6187857,SSD
2023-03-22,6779369,7242228,6187857,SSD
2023-03-23,6779369,7242228,6187857,SSD
2023-03-24,6776441,7242228,6187857,SSD
2023-03-25,6781400,7243722,6177498,SSD
2023-03-26,6781400,7243722,6177498,SSD
2023-03-27,6781400,7243722,6177498,SSD
2023-03-28,6783838,7244242,6187988,SSD
2023-03-29,6775641,7241655,6191202,SSD
2023-03-30,6775641,7241655,6191202,SSD
2023-03-31,6782027,7236091,6207942,SSD
2023-04-01,6787587,7240156,6232998,SSD
2023-04-02,6809532,7275789,6268391,SSD
2023-04-03,6793915,7252349,6229352,SSD
2023-04-04,6793915,7252349,6229352,SSD
2023-04-05,6793915,7252349,6229352,SSD
2023-04-06,6792657,7250669,6222733,SSD
2023-04-07,6715193,7180335,6112765,SSD
2023-04-08,6741416,7216524,6123066,SSD
2023-04-09,6738592,7221470,6134498,SSD
2023-04-10,6771885,7279986,6155543,SSD
2023-04-11,6752751,7282094,6155332,SSD
2023-04-12,6752751,7282094,6155332,SSD
2023-04-13,6657260,7211888,6027558,SSD
2023-04-14,6657260,7211888,6027558,SSD
2023-04-15,6657033,7211888,6027558,SSD
2023-04-16,6657033,7197821,6027558,SSD
