date,value,value_high,value_low,iso_code
2022-11-07,4421207,5404863,3622031,PER
2022-11-08,4421522,5404863,3622031,PER
2022-11-09,4421522,5404863,3622031,PER
2022-11-10,4421522,5404863,3622031,PER
2022-11-11,4433091,5420031,3625329,PER
2022-11-12,4433091,5420031,3625329,PER
2022-11-13,4433091,5420031,3625329,PER
2022-11-14,4432992,5420031,3625329,PER
2022-11-15,4441363,5420031,3626102,PER
2022-11-16,4442356,5420031,3626102,PER
2022-11-17,4441325,5420031,3623405,PER
2022-11-18,4441325,5386933,3623405,PER
2022-11-19,4489840,5394035,3624672,PER
2022-11-20,4322911,5234225,3537142,PER
2022-11-21,4458131,5394494,3598216,PER
2022-11-22,4415711,5393272,3591312,PER
2022-11-23,4293879,5195609,3501535,PER
2023-02-21,4017199,5108062,3175055,PER
2022-11-24,4293739,5195609,3501535,PER
2022-11-25,4319572,5199259,3518124,PER
2022-11-26,4213437,5018123,3505468,PER
2022-11-27,4213437,5018123,3505468,PER
2022-11-28,4260150,5151576,3587079,PER
2022-11-29,4260150,5151576,3587079,PER
2022-11-30,4250024,5151576,3576067,PER
2022-12-01,4167865,4917334,3478141,PER
2022-12-02,4167865,4917334,3478141,PER
2022-12-03,4215248,5021060,3505472,PER
2022-12-04,4183099,4963866,3479668,PER
2022-12-05,4183099,4963866,3479668,PER
2022-12-06,4201257,4973679,3490929,PER
2022-12-07,4201257,4973679,3490929,PER
2022-12-08,4201257,4973679,3490929,PER
2022-12-09,4201257,4973679,3490929,PER
2022-12-10,4209632,4977224,3512621,PER
2022-12-11,4211152,4974222,3510273,PER
2022-12-12,4213095,4974555,3510273,PER
2022-12-13,4211206,4961436,3499672,PER
2022-12-14,4250530,4991479,3525943,PER
2022-12-15,4250530,4991479,3525943,PER
2022-12-16,4263788,4994397,3528191,PER
2022-12-17,4276011,4993434,3528786,PER
2022-12-18,4276011,4993434,3529797,PER
2022-12-19,4276011,4993434,3533896,PER
2022-12-20,4281098,4995419,3534814,PER
2022-12-21,4289586,5024640,3546426,PER
2022-12-22,4304729,5024640,3555933,PER
2022-12-23,4304729,5024640,3555933,PER
2022-12-24,4306111,5024759,3559541,PER
2022-12-25,4307520,5024759,3559541,PER
2022-12-26,4308118,5028281,3568936,PER
2022-12-27,4308956,5030862,3569737,PER
2022-12-28,4314022,5046522,3571042,PER
2022-12-29,4314022,5046243,3571042,PER
2022-12-30,4318844,5046243,3571666,PER
2022-12-31,4321873,5049680,3575469,PER
2023-01-01,4348221,5072121,3594419,PER
2023-01-02,4348597,5072121,3594419,PER
2023-01-03,4314017,5045589,3597470,PER
2023-01-04,4314017,5045589,3597470,PER
2023-01-05,4315715,5047035,3597121,PER
2023-01-06,4315715,5047035,3597121,PER
2023-01-07,4315715,5047035,3597121,PER
2023-01-08,4315061,5047035,3597121,PER
2023-01-09,4315061,5047035,3597121,PER
2023-01-10,4315061,5047035,3597121,PER
2023-01-11,4317346,5064485,3600978,PER
2023-01-12,4298156,5064485,3600978,PER
2023-01-13,4300872,5064485,3600978,PER
2023-04-13,4295484,5260974,3532556,PER
2023-01-14,4300872,5064485,3600978,PER
2023-01-15,4300872,5064485,3600978,PER
2023-01-16,4300872,5064485,3600978,PER
2023-01-17,4300349,5060575,3602138,PER
2023-01-18,4311927,5073209,3609529,PER
2023-01-19,4537331,5601862,3753891,PER
2023-01-20,4537331,5601862,3753891,PER
2023-01-21,4542380,5573794,3761116,PER
2023-01-22,4595511,5603102,3797363,PER
2023-01-23,4615492,5606185,3797033,PER
2023-01-24,4612712,5589573,3803980,PER
2023-01-25,4634808,5601411,3820197,PER
2023-01-26,4638266,5602245,3823335,PER
2023-01-27,4638266,5602245,3823335,PER
2023-01-28,4638266,5602245,3823335,PER
2023-01-29,4638344,5598619,3824528,PER
2023-01-30,4638344,5605203,3824528,PER
2023-01-31,4639122,5605203,3824528,PER
2023-02-01,4647100,5621937,3816882,PER
2023-02-02,4649519,5626927,3816882,PER
2023-02-03,4692322,5652117,3825763,PER
2023-02-04,4692322,5652117,3825763,PER
2023-02-05,4692349,5652117,3825763,PER
2023-02-06,4692349,5652117,3825763,PER
2023-02-07,4692349,5652117,3825763,PER
2023-02-08,4692349,5652117,3825763,PER
2023-02-09,4692349,5652117,3825763,PER
2023-02-10,4688237,5643283,3823987,PER
2023-02-11,4690051,5652773,3825613,PER
2023-02-12,4690457,5652773,3825613,PER
2023-02-13,4690457,5652773,3825613,PER
2023-02-14,4707557,5677026,3829369,PER
2023-02-15,4707557,5677026,3829369,PER
2023-02-16,4707557,5677026,3829369,PER
2023-02-17,4707557,5677026,3829369,PER
2023-02-18,4707557,5677026,3829369,PER
2023-02-19,4707557,5677026,3829369,PER
2023-02-20,4707557,5677026,3829369,PER
2023-02-21,4707557,5677026,3829369,PER
2023-02-22,4707557,5677026,3829369,PER
2023-02-23,4707557,5677026,3829369,PER
2023-05-13,4576597,5556408,3753662,PER
2023-05-14,4606318,5591413,3754405,PER
2023-05-15,4606318,5591413,3754405,PER
2023-05-16,4610197,5590692,3756920,PER
2023-05-17,4603042,5584880,3760815,PER
2023-05-18,4603042,5585741,3760815,PER
2023-05-19,4603042,5585741,3760815,PER
2023-05-20,4603042,5585741,3760815,PER
2023-05-21,4611317,5584324,3758287,PER
2023-05-22,4611317,5584324,3758287,PER
2023-05-23,4611317,5584324,3758287,PER
2023-02-24,4704397,5670473,3819877,PER
2023-02-25,4709721,5687180,3828657,PER
2023-02-26,4709721,5687180,3828657,PER
2023-02-27,4709721,5687180,3828657,PER
2023-02-28,4709721,5687180,3828657,PER
2023-03-01,4709721,5687180,3828657,PER
2023-03-02,4709721,5687180,3828657,PER
2023-03-03,4709721,5687180,3828657,PER
2023-03-04,4698608,5672234,3821746,PER
2023-03-05,4698608,5672234,3821746,PER
2023-03-06,4698608,5672234,3821746,PER
2023-03-07,4698608,5672234,3821746,PER
2023-03-08,4698608,5672234,3821746,PER
2023-03-09,4698608,5672234,3821746,PER
2023-03-10,4698608,5672234,3821746,PER
2023-03-11,4698608,5672234,3821746,PER
2023-03-12,4697071,5670402,3821746,PER
2023-03-13,4697071,5670402,3821746,PER
2023-03-14,4680503,5638690,3815850,PER
2023-03-15,4680503,5638690,3815850,PER
2023-03-16,4680503,5638690,3815850,PER
2023-03-17,4680503,5638690,3815850,PER
2023-03-18,4680503,5638690,3815850,PER
2023-03-19,4680503,5638690,3815850,PER
2023-03-20,4680503,5638690,3815850,PER
2023-03-21,4680503,5638690,3815850,PER
2023-03-22,4680503,5638690,3815850,PER
2023-03-23,4680503,5638690,3815850,PER
2023-03-24,4680503,5638690,3815850,PER
2023-03-25,4672702,5636754,3808718,PER
2023-03-26,4672702,5636754,3808718,PER
2023-03-27,4671669,5636754,3808718,PER
2023-03-28,4671392,5628304,3808718,PER
2023-03-29,4670160,5628304,3808718,PER
2023-03-30,4670160,5628304,3808718,PER
2023-03-31,4670160,5628304,3808718,PER
2023-04-01,4670160,5628304,3808718,PER
2023-04-02,4670160,5628304,3808718,PER
2023-04-03,4669971,5628304,3808718,PER
2023-04-04,4669971,5622188,3808718,PER
2023-04-05,4670090,5622770,3808718,PER
2023-04-06,4669905,5622770,3808718,PER
2023-04-07,4672804,5611199,3805254,PER
2023-04-08,4672804,5611199,3805254,PER
2023-04-09,4672487,5612961,3804351,PER
2023-04-10,4670861,5608971,3802401,PER
2023-04-11,4626290,5573328,3799823,PER
2023-04-12,4615187,5573328,3794286,PER
2023-04-13,4620189,5578462,3794084,PER
2023-04-14,4620189,5578462,3794084,PER
2023-04-15,4620189,5578462,3794084,PER
2023-04-16,4584918,5574535,3773463,PER
2023-04-17,4330142,5082370,3582694,PER
2023-04-18,4335103,5082370,3598127,PER
2023-04-19,4334452,5082370,3598127,PER
2023-04-20,4334602,5082370,3582694,PER
2023-04-21,4334602,5082370,3582694,PER
2023-04-22,4334452,5082370,3598127,PER
2023-04-23,4333882,5082370,3598127,PER
2023-04-24,4333882,5082370,3598127,PER
2023-04-25,4335103,5082370,3598127,PER
2023-04-26,4334452,5082370,3598127,PER
2023-04-27,4291524,5047184,3582108,PER
2023-04-28,4291723,5047184,3566017,PER
2023-04-29,4292485,5046804,3581941,PER
2023-04-30,4292485,5046804,3581941,PER
2023-05-01,4280494,5036340,3573427,PER
2023-05-02,4280387,5036340,3573427,PER
2023-05-03,4279888,5036340,3573427,PER
2023-05-04,4279888,5036340,3573427,PER
2023-05-05,4280554,5038859,3574537,PER
2023-05-06,4280554,5038859,3574537,PER
2023-05-07,4280307,5038859,3556188,PER
2023-05-08,4280307,5038859,3556188,PER
2023-05-09,4510137,5540748,3716959,PER
2023-05-10,4568538,5566314,3755305,PER
2023-05-11,4557216,5556408,3748896,PER
2023-05-12,4576597,5556408,3749495,PER
2023-05-13,4558857,5537543,3745059,PER
2023-05-14,4587834,5577854,3745291,PER
2023-05-15,4589121,5577854,3747702,PER
2023-05-16,4589121,5570754,3747703,PER
2023-05-17,4589121,5572918,3747703,PER
2023-05-18,4589121,5572918,3747703,PER
2023-05-19,4590726,5572918,3747703,PER
2023-05-20,4590726,5572918,3747703,PER
2023-05-21,4590962,5568796,3748511,PER
2023-05-22,4591140,5585952,3748511,PER
2023-05-23,4591140,5585952,3748511,PER
2023-05-24,4591140,5585952,3748511,PER
2023-05-25,4594009,5585952,3748511,PER
2023-05-26,4596462,5599226,3747612,PER
2023-05-27,4596462,5599226,3747612,PER
2023-05-28,4596462,5599226,3747612,PER
2023-05-29,4596462,5599226,3747612,PER
2023-05-30,4596462,5599226,3747612,PER
2023-05-31,4596462,5599226,3747612,PER
2023-06-01,4597997,5598017,3746385,PER
2023-06-02,4585307,5575447,3737170,PER
2023-06-03,4585307,5575447,3737170,PER
2023-06-04,4495775,5435594,3701793,PER
2023-06-05,4495611,5435594,3700539,PER
2023-06-06,4495453,5434278,3701056,PER
2023-03-07,3886550,4763967,3251337,PER
2023-03-08,3885474,4778014,3251337,PER
2023-03-09,3885474,4778014,3251337,PER
2023-03-10,3885474,4778014,3250992,PER
2023-03-11,3863595,4764761,3233962,PER
2023-03-12,3863595,4764761,3231422,PER
2023-03-13,3863595,4764761,3231422,PER
2023-03-14,3863595,4764761,3233962,PER
2023-03-15,3863739,4764761,3234142,PER
2023-03-16,3863739,4764761,3234142,PER
2023-03-17,3863595,4764761,3233962,PER
2023-03-18,3863595,4764761,3233962,PER
2023-03-19,3863595,4764761,3233962,PER
2023-06-16,4198511,5116745,3445960,PER
2023-06-17,4192613,5110984,3431654,PER
2023-06-18,3963187,4874176,3314185,PER
2023-03-20,3864258,4748752,3234142,PER
2023-03-21,3865596,4768324,3224101,PER
2023-03-22,3865596,4768324,3224101,PER
2023-03-23,3865596,4768549,3224101,PER
2023-06-20,4172053,5095854,3399294,PER
2023-06-21,4172395,5078346,3443858,PER
2023-06-22,4162814,5069700,3439495,PER
2023-06-23,4160767,5069448,3439199,PER
2023-03-24,3865596,4768324,3224101,PER
2023-03-25,3865596,4768549,3224101,PER
2023-03-26,3865596,4768549,3224344,PER
2023-03-27,3865274,4768491,3224344,PER
2023-03-28,3865274,4768491,3224290,PER
2023-03-29,3865212,4768491,3224118,PER
2023-03-30,3865212,4768491,3224118,PER
2023-03-31,3865729,4773235,3226745,PER
2023-04-01,3853377,4747285,3229147,PER
2023-04-02,3857282,4747285,3229147,PER
2023-04-03,3857850,4747363,3229471,PER
2023-04-04,3857850,4747363,3229471,PER
2023-04-05,3850331,4724571,3221961,PER
2023-04-06,3850331,4725703,3218471,PER
2023-04-07,3850331,4724571,3221961,PER
2023-04-08,3838841,4733080,3218471,PER
2023-04-09,3842865,4734244,3219543,PER
2023-04-10,3843093,4736316,3219199,PER
2023-04-11,3849441,4729908,3225741,PER
2023-04-12,3855037,4733203,3227484,PER
2023-04-13,3856073,4733203,3227484,PER
2023-04-14,3855037,4733203,3227484,PER
2023-04-15,3865287,4743864,3230843,PER
2023-04-16,3865994,4743864,3230843,PER
2023-04-17,3866467,4754897,3233099,PER
2023-04-18,3866467,4754897,3233099,PER
2023-04-19,3866442,4754897,3233099,PER
2023-04-20,3866467,4754897,3233099,PER
2023-04-21,3878099,4756348,3238216,PER
2023-04-22,3877915,4756348,3239493,PER
2023-04-23,3877915,4756354,3239493,PER
2023-04-24,3877915,4756348,3239493,PER
2023-04-25,3876494,4749896,3238721,PER
2023-04-26,3876478,4749896,3238721,PER
2023-04-27,3876494,4749896,3238721,PER
2023-04-28,3875172,4744192,3237444,PER
2023-04-29,3876494,4749896,3238721,PER
2023-04-30,3852715,4714634,3239719,PER
2023-05-01,3865450,4714952,3240620,PER
2023-05-02,3865450,4714952,3240620,PER
2023-05-03,3865450,4714952,3240620,PER
2023-05-04,3860544,4705799,3239041,PER
2023-05-05,3859028,4704012,3237825,PER
2023-05-06,3860544,4705799,3239041,PER
2023-05-07,3860544,4705799,3239041,PER
2023-05-08,3860579,4705799,3237825,PER
2023-05-09,3857938,4704012,3237825,PER
2023-05-10,3850380,4699125,3233933,PER
2023-05-11,3857936,4719595,3215964,PER
2023-05-12,3858322,4726445,3215964,PER
2023-05-13,3858322,4726445,3215964,PER
2023-05-14,3857393,4726682,3215964,PER
2023-05-15,3855922,4725814,3216317,PER
2023-05-16,3857893,4724239,3233337,PER
2023-05-17,3878471,4733742,3237504,PER
2023-05-18,3877867,4733742,3236968,PER
2023-05-19,3877559,4733742,3236968,PER
2023-05-20,3877559,4733742,3236968,PER
2023-05-21,3893650,4762630,3264337,PER
2023-05-22,3893764,4762630,3264337,PER
2023-05-23,3893764,4763421,3264337,PER
2023-05-24,3896316,4763421,3264337,PER
2023-05-25,3896261,4763421,3264097,PER
2023-05-26,3895625,4764151,3260945,PER
2023-05-27,3895625,4764151,3260945,PER
2023-05-28,3895479,4764151,3260945,PER
2023-05-29,3895324,4774872,3260945,PER
2023-05-30,3895324,4774872,3260730,PER
2023-05-31,3961084,4881636,3327269,PER
2023-06-01,3961852,4890698,3320355,PER
2023-06-02,3961852,4890698,3320355,PER
2023-06-03,3961852,4890698,3320355,PER
2023-06-04,3961852,4890698,3320355,PER
2023-06-05,3961852,4890698,3320355,PER
2023-06-06,3961852,4890698,3320355,PER
2023-06-07,3961852,4890698,3320355,PER
2023-06-08,3962043,4890698,3320355,PER
2023-06-09,3961782,4891622,3320355,PER
2023-06-10,3961782,4891622,3320355,PER
2023-06-11,3969522,4891543,3323913,PER
2023-06-12,3969522,4891543,3323913,PER
2023-06-13,3969062,4892112,3323297,PER
2023-06-14,3973794,4891487,3327491,PER
2023-06-15,3973753,4890704,3327259,PER
2023-06-16,3956031,4866826,3311724,PER
2023-06-17,3956031,4866826,3311724,PER
2023-06-18,3956031,4866826,3311724,PER
2023-06-19,3946297,4861348,3301089,PER
2023-06-20,3927465,4850773,3291734,PER
2023-06-21,3944262,4852920,3325285,PER
2023-06-22,3944233,4852888,3325285,PER
2023-06-23,3944233,4852888,3325285,PER
2023-06-24,3936543,4854982,3290336,PER
2023-06-25,3937767,4854982,3290447,PER
2023-06-26,3937229,4854244,3290447,PER
2023-06-27,3937229,4854244,3290447,PER
2023-06-28,3936739,4854244,3290414,PER
