date,value,value_high,value_low,iso_code
2022-11-07,94248,111666,78069,VUT
2022-11-08,94252,111666,78069,VUT
2022-11-09,94270,111836,78069,VUT
2022-11-10,94877,113167,78501,VUT
2022-11-11,95514,113209,78316,VUT
2022-11-12,95514,113209,78316,VUT
2022-11-13,95518,113209,78316,VUT
2022-11-14,95518,113209,78316,VUT
2022-11-15,95520,113209,78316,VUT
2022-11-16,95520,113209,78316,VUT
2022-11-17,95520,113209,78316,VUT
2022-11-18,95520,113209,78316,VUT
2022-11-19,95520,113209,78316,VUT
2022-11-20,95520,113209,78316,VUT
2022-11-21,95720,113320,78422,VUT
2022-11-22,95680,113320,78422,VUT
2022-11-23,95680,113320,78422,VUT
2023-02-21,119543,133855,107832,VUT
2022-11-24,95680,113320,78422,VUT
2022-11-25,95520,113209,78316,VUT
2022-11-26,95520,113209,78316,VUT
2022-11-27,95520,113209,78316,VUT
2022-11-28,95520,113209,78316,VUT
2022-11-29,95520,113209,78316,VUT
2022-11-30,95520,113209,78316,VUT
2022-12-01,95602,113270,78359,VUT
2022-12-02,95602,113270,78359,VUT
2022-12-03,95608,113270,78359,VUT
2022-12-04,95602,113270,78359,VUT
2022-12-05,95602,113270,78359,VUT
2022-12-06,95516,113197,78316,VUT
2022-12-07,95516,113197,78316,VUT
2022-12-08,95516,113197,78316,VUT
2022-12-09,95516,113197,78316,VUT
2022-12-10,95516,113197,78316,VUT
2022-12-11,95597,113276,78422,VUT
2022-12-12,95597,113276,78422,VUT
2022-12-13,95597,113276,78422,VUT
2022-12-14,95602,113276,78422,VUT
2022-12-15,95660,113276,78422,VUT
2022-12-16,95660,113276,78422,VUT
2022-12-17,95660,113276,78422,VUT
2022-12-18,95996,113276,78275,VUT
2022-12-19,95996,113276,78275,VUT
2022-12-20,95997,113276,78265,VUT
2022-12-21,95618,113186,77985,VUT
2022-12-22,95618,113186,77985,VUT
2022-12-23,95618,113186,77985,VUT
2022-12-24,95618,113186,77985,VUT
2022-12-25,95578,113186,77980,VUT
2022-12-26,95578,113186,77980,VUT
2022-12-27,95578,113186,77980,VUT
2022-12-28,95578,113186,77980,VUT
2022-12-29,95578,113186,77980,VUT
2022-12-30,95578,113186,77980,VUT
2022-12-31,95675,113214,78020,VUT
2023-01-01,95578,113186,77858,VUT
