date,value,value_high,value_low,iso_code
2022-11-07,38106444,44412775,33045242,BGD
2022-11-08,38169491,44448156,33223347,BGD
2022-11-09,38389202,45059326,33306599,BGD
2022-11-10,38363827,45011231,33202473,BGD
2022-11-11,36788047,43049743,31591581,BGD
2022-11-12,36813628,43067971,31619288,BGD
2022-11-13,36846285,43117007,31619288,BGD
2022-11-14,36846285,43117007,31619288,BGD
2022-11-15,36846285,43117007,31619288,BGD
2022-11-16,36806164,42929105,31614061,BGD
2022-11-17,36806164,42929105,31614061,BGD
2022-11-18,36824888,43040925,31603323,BGD
2022-11-19,36868824,43087026,31631030,BGD
2022-11-20,36868824,43087026,31631030,BGD
2022-11-21,36415364,42361364,31054457,BGD
2022-11-22,36415364,42361364,31054457,BGD
2022-11-23,36415364,42361364,31054457,BGD
2023-02-21,46674710,52797241,41552496,BGD
2022-11-24,36415364,42361364,31054457,BGD
2022-11-25,34952641,40702563,29840936,BGD
2022-11-26,34952641,40702563,29840936,BGD
2022-11-27,34952641,40702563,29840936,BGD
2022-11-28,34352694,39917992,29677037,BGD
2022-11-29,34352694,39917992,29677037,BGD
2022-11-30,34352694,39917992,29677037,BGD
2022-12-01,33266266,38551903,29198780,BGD
2022-12-02,33266266,38551903,29198780,BGD
2022-12-03,33453170,38926493,29156762,BGD
2022-12-04,33512256,38938675,29339202,BGD
2022-12-05,33454390,38938675,29310509,BGD
2022-12-06,34594927,40295752,30155947,BGD
2022-12-07,34548194,40295752,30155947,BGD
2022-12-08,34528419,40285475,30093625,BGD
2022-12-09,34528419,40285475,30093625,BGD
2022-12-10,34528419,40285475,30093625,BGD
2022-12-11,34216787,39979122,29850661,BGD
2022-12-12,34227884,39989399,29882702,BGD
2022-12-13,34255746,39989399,29810052,BGD
2022-12-14,34325139,40007627,29960121,BGD
2022-12-15,34359664,40033406,29989243,BGD
2022-12-16,34359664,40033406,29989243,BGD
2022-12-17,34359664,40033406,29989243,BGD
2022-12-18,34398149,40033406,30098430,BGD
2022-12-19,34398149,40033406,30098430,BGD
2022-12-20,34398149,40037395,30098430,BGD
2022-12-21,34775339,40454441,30604932,BGD
2022-12-22,34798985,40454441,30630313,BGD
2022-12-23,34775339,40454441,30604932,BGD
2022-12-24,34747458,40430146,30629378,BGD
2022-12-25,35039519,40540085,30729796,BGD
2022-12-26,34791735,40223366,30700821,BGD
2022-12-27,34778788,40264799,30606098,BGD
2022-12-28,34945802,40389037,30865957,BGD
2022-12-29,34945802,40389037,30865957,BGD
2022-12-30,34945802,40389037,30865957,BGD
2022-12-31,34971386,40411964,30895192,BGD
2023-01-01,34977764,39971978,30916297,BGD
2023-01-02,34958476,39971978,30907472,BGD
2023-01-03,34958476,39971978,30907472,BGD
2023-01-04,34804154,39584215,30799836,BGD
2023-01-05,34695521,40299040,30771793,BGD
2023-01-06,34695521,39600412,30763157,BGD
2023-01-07,34765770,40581628,30771793,BGD
2023-01-08,34765770,40628002,30771793,BGD
2023-01-09,34832511,40628002,30887997,BGD
2023-01-10,34856799,40628002,30887997,BGD
2023-01-11,34776809,40817461,30869150,BGD
2023-01-12,34776809,40817461,30869150,BGD
2023-01-13,34776809,40817461,30869150,BGD
2023-04-13,35595926,41627847,31170850,BGD
2023-01-14,34776809,40817461,30869150,BGD
2023-01-15,34776809,40817461,30871255,BGD
2023-01-16,34776809,40916630,30884040,BGD
2023-01-17,34706962,40585213,30836710,BGD
2023-01-18,34706962,40585213,30836710,BGD
2023-01-19,34706962,40585213,30836710,BGD
2023-01-20,34706962,40585213,30836710,BGD
2023-01-21,34123933,40043562,30324958,BGD
2023-01-22,34154384,40187140,30319184,BGD
2023-01-23,34146012,39951706,30319184,BGD
2023-01-24,34071060,39091606,30285259,BGD
2023-01-25,34066685,39091606,30324085,BGD
2023-01-26,34066685,39091606,30324085,BGD
2023-01-27,34067692,39091606,30285259,BGD
2023-01-28,34066685,39038239,30324085,BGD
2023-01-29,34066685,39038239,30324085,BGD
2023-01-30,34061144,39038239,30324085,BGD
2023-01-31,34061144,39038239,30324085,BGD
2023-02-01,34207565,39111637,30445599,BGD
2023-02-02,34297220,39338395,30609015,BGD
2023-02-03,34297220,39338395,30609015,BGD
2023-02-04,34297220,39338395,30609015,BGD
2023-02-05,34297220,39334832,30609015,BGD
2023-02-06,34290815,39334832,30609015,BGD
2023-02-07,34247208,39331292,30575785,BGD
2023-02-08,34247208,39331292,30575785,BGD
2023-02-09,34247208,39331292,30575785,BGD
2023-02-10,34481248,39466415,30785257,BGD
2023-02-11,35182191,40423297,31295870,BGD
2023-02-12,35182191,40329997,31287400,BGD
2023-02-13,35180762,40329997,31287400,BGD
2023-02-14,35136607,40126905,31190170,BGD
2023-02-15,35136607,40126905,31190170,BGD
2023-02-16,34758666,39813993,31126680,BGD
2023-02-17,34758666,39817761,31126680,BGD
2023-02-18,34758666,39813993,31126680,BGD
2023-02-19,34741700,39813993,31126680,BGD
2023-02-20,34757944,39813993,31126680,BGD
2023-02-21,34710963,39813993,31065958,BGD
2023-02-22,34710963,39813993,31065958,BGD
2023-02-23,34710963,39813993,31065958,BGD
2023-05-13,37676599,44455826,32972854,BGD
2023-05-14,37662096,44443249,32966046,BGD
2023-05-15,38019454,45191495,33186805,BGD
2023-05-16,38019454,45191495,33135268,BGD
2023-05-17,37245108,43948257,32834355,BGD
2023-05-18,37245108,43948257,32834355,BGD
2023-05-19,37595383,44600796,32956433,BGD
2023-05-20,37595383,44600796,32956433,BGD
2023-05-21,37914272,44708149,33212547,BGD
2023-05-22,37549839,44508852,32970226,BGD
2023-05-23,37974696,44821997,33137436,BGD
2023-02-24,37203256,42156584,33385751,BGD
2023-02-25,37163465,42156584,33329291,BGD
2023-02-26,37145916,42177511,33328831,BGD
2023-02-27,37145916,42177511,33328831,BGD
2023-02-28,37145916,42177511,33328831,BGD
2023-03-01,37859987,43321551,33890760,BGD
2023-03-02,37859987,43321551,33890760,BGD
2023-03-03,37859987,43321551,33890760,BGD
2023-03-04,37598272,43203169,33540366,BGD
2023-03-05,37574380,43299565,33474943,BGD
2023-03-06,37595201,43299565,33481892,BGD
2023-03-07,37633840,43345659,33586857,BGD
2023-03-08,37696968,43348848,33586857,BGD
2023-03-09,37699340,43348848,33586857,BGD
2023-03-10,37699340,43348848,33586857,BGD
2023-03-11,37771476,43348848,33586857,BGD
2023-03-12,37732271,43348848,33586857,BGD
2023-03-13,37732271,43348848,33586857,BGD
2023-03-14,37578024,43221377,33497727,BGD
2023-03-15,37578024,43221377,33497727,BGD
