date,value,value_high,value_low,iso_code
2022-07-25,2211595,2620045,1895753,TJK
2022-07-26,2211595,2620045,1895753,TJK
2022-07-27,2211595,2620045,1895753,TJK
2022-07-28,2211595,2620045,1895753,TJK
2022-07-29,2211595,2620045,1895753,TJK
2022-07-30,2211595,2620045,1895753,TJK
2022-07-31,2211595,2620045,1895753,TJK
2022-08-01,2196643,2585568,1894721,TJK
2022-08-02,2196643,2585568,1894721,TJK
2022-08-03,2196643,2585568,1894721,TJK
2022-08-04,2196643,2585568,1894721,TJK
2022-08-05,2196643,2585568,1894721,TJK
2022-08-06,2196643,2585568,1894721,TJK
2022-08-07,2196643,2585568,1894721,TJK
2022-08-08,2196643,2585568,1894721,TJK
2022-08-09,2189556,2579207,1885885,TJK
2022-08-10,2189556,2579207,1885885,TJK
2022-08-11,2188909,2579207,1885885,TJK
2022-08-12,2188909,2579207,1885885,TJK
2022-08-13,2188909,2579207,1885885,TJK
2022-08-14,2188909,2579207,1885885,TJK
2022-08-15,2188909,2579207,1885885,TJK
2022-08-16,2188909,2579207,1885885,TJK
2022-08-17,2188909,2579207,1885885,TJK
2022-08-18,2188909,2579207,1885885,TJK
2022-08-19,2188909,2579207,1885885,TJK
2022-08-20,2188909,2579207,1885885,TJK
2022-08-21,2184495,2578210,1874483,TJK
2022-08-22,2184495,2578210,1874483,TJK
2022-08-23,2184495,2578210,1874483,TJK
2022-08-24,2184495,2578210,1872974,TJK
2022-08-25,2184495,2578210,1872974,TJK
2022-08-26,2184495,2578210,1872974,TJK
2022-08-27,2184495,2578210,1872974,TJK
2022-08-28,2189074,2578210,1872974,TJK
2022-08-29,2189074,2578210,1872974,TJK
2022-08-30,2189074,2578210,1872974,TJK
2022-08-31,2189074,2578210,1872974,TJK
2022-09-01,2174855,2578180,1855290,TJK
2022-09-02,2174855,2578180,1855290,TJK
2022-09-03,2174855,2578180,1855290,TJK
2022-09-04,2174855,2578180,1855290,TJK
2022-09-05,2174855,2578180,1855290,TJK
2022-09-06,2174855,2578180,1855290,TJK
2022-09-07,2174855,2578180,1855290,TJK
2022-09-08,2174855,2578180,1855290,TJK
2022-09-09,2174855,2578180,1855290,TJK
2022-09-10,2174855,2578180,1855290,TJK
2022-09-11,2180763,2596700,1865269,TJK
2022-09-12,2180763,2596700,1865269,TJK
2022-09-13,2180763,2596700,1865269,TJK
2022-09-14,2178082,2596700,1865269,TJK
2022-09-15,2178082,2596700,1865269,TJK
2022-09-16,2178082,2596700,1865269,TJK
2022-09-17,2178082,2596700,1865269,TJK
2022-09-18,2178082,2596700,1865269,TJK
2022-09-19,2178082,2596700,1867265,TJK
2022-09-20,2177264,2596700,1871186,TJK
2022-09-21,2177643,2596700,1870221,TJK
2022-09-22,2177643,2596700,1870221,TJK
2022-09-23,2177643,2596700,1870221,TJK
2022-09-24,2177643,2596700,1870221,TJK
2022-09-25,2178363,2597798,1871498,TJK
2022-09-26,2183994,2600326,1874157,TJK
2022-09-27,2183994,2600326,1874157,TJK
2022-09-28,2178363,2597798,1871498,TJK
2022-09-29,2178363,2597798,1871498,TJK
2022-09-30,2179465,2597798,1872713,TJK
2022-10-01,2165330,2563524,1871664,TJK
2022-10-02,2169064,2563524,1890510,TJK
2022-10-03,2165330,2563524,1871664,TJK
2022-10-04,2165330,2563524,1871664,TJK
2022-10-05,2165330,2563524,1871664,TJK
2022-10-06,2167536,2573557,1864889,TJK
2022-10-07,2167536,2573557,1864889,TJK
2022-10-08,2167536,2573557,1864889,TJK
2022-10-09,2167536,2573557,1864889,TJK
2022-10-10,2167536,2573557,1864889,TJK
2022-10-11,2167536,2573557,1864889,TJK
2022-10-12,2167536,2573557,1864889,TJK
2022-10-13,2167536,2573557,1864889,TJK
2022-10-14,2167536,2573557,1864889,TJK
2022-10-15,2171732,2576702,1865403,TJK
2022-10-16,2171732,2576702,1865403,TJK
2022-10-17,2171732,2576702,1865403,TJK
2022-10-18,2183464,2576833,1888919,TJK
2022-10-19,2176496,2577214,1908999,TJK
2022-10-20,2176496,2577214,1908999,TJK
2022-10-21,2175417,2576528,1906375,TJK
2022-10-22,2175417,2576528,1906375,TJK
2022-10-23,2175417,2576528,1906375,TJK
2022-10-24,2385542,2845879,2044179,TJK
2022-10-25,2385542,2845879,2044179,TJK
