date,value,value_high,value_low,iso_code
2022-08-11,2374726,2374726,2374726,ZMB
2022-08-12,2350650,2350650,2350650,ZMB
2022-08-13,2293339,2293339,2293339,ZMB
2022-08-14,2380098,2380098,2380098,ZMB
2022-08-15,2381205,2381205,2381205,ZMB
2022-08-16,2435963,2435963,2435963,ZMB
2022-08-17,2375476,2375476,2375476,ZMB
2022-08-18,2426799,2426799,2426799,ZMB
2022-08-19,2498010,2498010,2498010,ZMB
2022-08-20,2499953,2499953,2499953,ZMB
2022-08-21,2568535,2568535,2568535,ZMB
2022-08-22,2567030,2567030,2567030,ZMB
2022-08-23,2616318,2616318,2616318,ZMB
2022-08-24,2637521,2637521,2637521,ZMB
2022-08-25,2615688,2615688,2615688,ZMB
2022-08-26,2565495,2565495,2565495,ZMB
2022-08-27,2539210,2539210,2539210,ZMB
2022-08-28,2566934,2566934,2566934,ZMB
2022-08-29,2492065,2492065,2492065,ZMB
2022-08-30,2360232,2360232,2360232,ZMB
2022-08-31,2397379,2397379,2397379,ZMB
2022-09-01,2298324,2298324,2298324,ZMB
2022-09-02,2365375,2365375,2365375,ZMB
2022-09-03,2332877,2332877,2332877,ZMB
2022-09-04,2368770,2368770,2368770,ZMB
2022-09-05,2386451,2386451,2386451,ZMB
2022-09-06,2435540,2435540,2435540,ZMB
2022-09-07,2377430,2377430,2377430,ZMB
2022-09-08,2391544,2391544,2391544,ZMB
2022-09-09,2434734,2434734,2434734,ZMB
2022-09-10,2406405,2406405,2406405,ZMB
2022-09-11,2355209,2355209,2355209,ZMB
2022-09-12,2348741,2348741,2348741,ZMB
2022-09-13,2367305,2367305,2367305,ZMB
2022-09-14,2228371,2228371,2228371,ZMB
2022-09-15,2156474,2156474,2156474,ZMB
2022-09-16,2202379,2202379,2202379,ZMB
2022-09-17,2201726,2201726,2201726,ZMB
2022-09-18,2207999,2207999,2207999,ZMB
2022-09-19,2136412,2136412,2136412,ZMB
2022-09-20,2019270,2019270,2019270,ZMB
2022-09-21,2021359,2021359,2021359,ZMB
2022-09-22,2024966,2024966,2024966,ZMB
2022-09-23,1929967,1929967,1929967,ZMB
2022-09-24,1979236,1979236,1979236,ZMB
2022-09-25,1972300,1972300,1972300,ZMB
2022-09-26,1986204,1986204,1986204,ZMB
2022-09-27,1975722,1975722,1975722,ZMB
2022-09-28,1979962,1979962,1979962,ZMB
2022-09-29,2034525,2034525,2034525,ZMB
2022-09-30,2010665,2010665,2010665,ZMB
2022-10-01,2067050,2067050,2067050,ZMB
2022-10-02,2024800,2024800,2024800,ZMB
2022-10-03,2049561,2049561,2049561,ZMB
2022-10-04,2000068,2000068,2000068,ZMB
2022-10-05,1976449,1976449,1976449,ZMB
2022-10-06,1963785,1963785,1963785,ZMB
2022-10-07,1991833,1991833,1991833,ZMB
2022-10-08,1980242,1980242,1980242,ZMB
2022-10-09,1912458,1912458,1912458,ZMB
2022-10-10,1907048,1907048,1907048,ZMB
2022-10-11,1879823,1879823,1879823,ZMB
2022-10-12,1961412,1961412,1961412,ZMB
2022-10-13,1932653,1932653,1932653,ZMB
2022-10-14,1999334,1999334,1999334,ZMB
2022-10-15,1979749,1979749,1979749,ZMB
2022-10-16,1966379,1966379,1966379,ZMB
2022-10-17,2002531,2002531,2002531,ZMB
2022-10-18,1951588,1951588,1951588,ZMB
2022-10-19,1946202,1946202,1946202,ZMB
2022-10-20,2007687,2007687,2007687,ZMB
2022-10-21,2058571,2058571,2058571,ZMB
2022-10-22,2085282,2085282,2085282,ZMB
2022-10-23,2177350,2177350,2177350,ZMB
2022-10-24,2108985,2108985,2108985,ZMB
2022-10-25,2140615,2140615,2140615,ZMB
2022-10-26,2144214,2144214,2144214,ZMB
2022-10-27,2095057,2095057,2095057,ZMB
2022-10-28,2046628,2046628,2046628,ZMB
2022-10-29,2021681,2021681,2021681,ZMB
2022-10-30,1991835,1991835,1991835,ZMB
2022-10-31,1922610,1922610,1922610,ZMB
2022-11-01,2071954,2071954,2071954,ZMB
2022-11-02,2242308,2242308,2242308,ZMB
2022-11-03,2246311,2246311,2246311,ZMB
2022-11-04,2289169,2289169,2289169,ZMB
2022-11-05,2243315,2243315,2243315,ZMB
2022-11-06,2254749,2254749,2254749,ZMB
2022-11-07,2279874,2279874,2279874,ZMB
2022-11-08,2187540,2187540,2187540,ZMB
2022-11-09,2255937,2255937,2255937,ZMB
2022-11-10,2274369,2274369,2274369,ZMB
2022-11-11,2200311,2200311,2200311,ZMB
