date,value,value_high,value_low,iso_code
2022-11-07,1158602,1388184,969377,LBY
2022-11-08,1156826,1383796,969377,LBY
2022-11-09,1156826,1383796,969377,LBY
2022-11-10,1156826,1383796,969377,LBY
2022-11-11,1152750,1369772,969377,LBY
2022-11-12,1152750,1369772,969377,LBY
2022-11-13,1152750,1369772,969377,LBY
2022-11-14,1152750,1369772,969377,LBY
2022-11-15,1152750,1369772,969377,LBY
2022-11-16,1149926,1362474,967804,LBY
2022-11-17,1149926,1362474,967804,LBY
2022-11-18,1149926,1362474,967804,LBY
2022-11-19,1149926,1362474,967804,LBY
2022-11-20,1149926,1362474,967804,LBY
2022-11-21,1151503,1362474,967804,LBY
2022-11-22,1162749,1362384,956072,LBY
2022-11-23,1165276,1362384,973106,LBY
2023-02-21,1361427,1767796,1098029,LBY
2022-11-24,1165276,1362384,973106,LBY
2022-11-25,1175063,1375116,981605,LBY
2022-11-26,1177477,1375355,983498,LBY
2022-11-27,1181032,1375355,983498,LBY
2022-11-28,1181957,1380290,1001370,LBY
2022-11-29,1182026,1380290,1001370,LBY
2022-11-30,1182026,1380290,1001370,LBY
2022-12-01,1183205,1380290,1001370,LBY
2022-12-02,1183205,1380290,1001370,LBY
2022-12-03,1183319,1382268,983552,LBY
2022-12-04,1184333,1379847,983552,LBY
2022-12-05,1184333,1379847,983552,LBY
2022-12-06,1180529,1374318,988234,LBY
2022-12-07,1175788,1362668,987092,LBY
2022-12-08,1184426,1378619,989365,LBY
2022-12-09,1304119,1587160,1095137,LBY
2022-12-10,1303657,1584957,1094709,LBY
2022-12-11,1301749,1584957,1096113,LBY
2022-12-12,1301749,1584957,1096113,LBY
2022-12-13,1301419,1584716,1094797,LBY
2022-12-14,1301361,1584716,1094574,LBY
2022-12-15,1301361,1584716,1094574,LBY
2022-12-16,1301361,1584716,1094574,LBY
2022-12-17,1301361,1584716,1094574,LBY
2022-12-18,1301234,1584716,1094574,LBY
2022-12-19,1301234,1584716,1098177,LBY
2022-12-20,1301560,1584716,1098177,LBY
2022-12-21,1285396,1552247,1082280,LBY
2022-12-22,1294568,1565300,1084390,LBY
2022-12-23,1291559,1556573,1085727,LBY
2022-12-24,1291380,1556573,1085727,LBY
2022-12-25,1291475,1556223,1085384,LBY
2022-12-26,1292508,1556223,1084376,LBY
2022-12-27,1292364,1557123,1086058,LBY
2022-12-28,1293290,1560362,1086058,LBY
2022-12-29,1293436,1560362,1086058,LBY
2022-12-30,1300570,1566198,1098948,LBY
2022-12-31,1308727,1587534,1101247,LBY
2023-01-01,1308101,1584660,1106238,LBY
2023-01-02,1309350,1584660,1106238,LBY
2023-01-03,1309350,1584660,1106238,LBY
2023-01-04,1308783,1588005,1108229,LBY
2023-01-05,1321609,1599517,1116385,LBY
2023-01-06,1335048,1609742,1126168,LBY
2023-01-07,1335601,1610146,1133422,LBY
2023-01-08,1335601,1610146,1133422,LBY
2023-01-09,1335094,1606852,1132927,LBY
2023-01-10,1335582,1606852,1132927,LBY
2023-01-11,1334583,1602411,1124558,LBY
2023-01-12,1334583,1602411,1129396,LBY
2023-01-13,1335021,1604363,1129396,LBY
2023-04-13,1333084,1723297,1074348,LBY
2023-01-14,1334931,1604323,1131414,LBY
2023-01-15,1334931,1604323,1131414,LBY
2023-01-16,1334931,1604323,1131414,LBY
2023-01-17,1336848,1608764,1131414,LBY
2023-01-18,1336848,1608764,1131414,LBY
2023-01-19,1335591,1614283,1132103,LBY
2023-01-20,1360734,1625236,1135278,LBY
2023-01-21,1452368,1966334,1166446,LBY
2023-01-22,1456192,1966334,1166277,LBY
2023-01-23,1483593,1977557,1195688,LBY
2023-01-24,1495978,1985374,1215053,LBY
2023-01-25,1495978,1985293,1215188,LBY
2023-01-26,1495937,1986131,1215188,LBY
2023-01-27,1496219,1986131,1215188,LBY
2023-01-28,1496219,1986131,1215188,LBY
2023-01-29,1496457,1986131,1215188,LBY
2023-01-30,1500931,1987909,1222267,LBY
2023-01-31,1505844,1989036,1248240,LBY
2023-02-01,1505439,1989036,1248240,LBY
2023-02-02,1505439,1991406,1244434,LBY
2023-02-03,1505279,1991406,1244434,LBY
2023-02-04,1505279,1991406,1244434,LBY
2023-02-05,1505408,1991406,1244434,LBY
2023-02-06,1505408,1991406,1244718,LBY
2023-02-07,1497598,1991406,1243168,LBY
2023-02-08,1497598,1991406,1243168,LBY
2023-02-09,1497418,1991406,1243168,LBY
2023-02-10,1494994,1989987,1241826,LBY
2023-02-11,1496588,1989673,1241363,LBY
2023-02-12,1552580,2019870,1261400,LBY
2023-02-13,1552580,2019870,1261400,LBY
2023-02-14,1562686,2051549,1276539,LBY
2023-02-15,1562242,2051549,1276539,LBY
2023-02-16,1562242,2051549,1276539,LBY
2023-02-17,1562242,2051549,1276539,LBY
2023-02-18,1562242,2051549,1276539,LBY
2023-02-19,1562242,2051549,1276539,LBY
2023-02-20,1562242,2051549,1276539,LBY
2023-02-21,1562242,2051549,1276539,LBY
2023-02-22,1562242,2051549,1276539,LBY
2023-02-23,1562242,2051549,1276539,LBY
2023-05-17,1208675,1373789,1045992,LBY
2023-05-18,1208675,1373789,1045992,LBY
2023-05-19,1208675,1373789,1045992,LBY
2023-05-20,1207917,1373789,1047760,LBY
2023-05-21,1207917,1374004,1047760,LBY
2023-02-24,1560504,2033332,1273646,LBY
2023-02-25,1559252,2033332,1273646,LBY
2023-02-26,1560504,2033332,1273646,LBY
2023-02-27,1560504,2033332,1273646,LBY
2023-02-28,1560504,2033332,1273646,LBY
2023-03-01,1560504,2033332,1273646,LBY
2023-03-02,1559252,2033332,1273646,LBY
2023-03-03,1559252,2033332,1273646,LBY
2023-03-04,1560504,2050595,1276539,LBY
2023-03-05,1802066,2386550,1433076,LBY
2023-03-06,1802066,2386550,1433076,LBY
2023-03-07,1802066,2386550,1433076,LBY
2023-03-08,1802066,2386550,1433076,LBY
2023-03-09,1642413,2091493,1279418,LBY
2023-03-10,1642413,2091493,1279418,LBY
2023-03-11,1642413,2091493,1279418,LBY
2023-03-12,1642413,2091493,1279418,LBY
2023-03-13,1630327,2091822,1279418,LBY
2023-03-14,1631595,2091822,1279418,LBY
2023-03-15,1631595,2091822,1279418,LBY
2023-03-16,1631595,2091822,1279418,LBY
2023-03-17,1631595,2091822,1279418,LBY
2023-03-18,1631595,2091822,1279418,LBY
2023-03-19,1631595,2091822,1279418,LBY
2023-03-20,1631595,2091822,1279418,LBY
2023-03-21,1631595,2091822,1279418,LBY
2023-03-22,1631595,2091822,1279418,LBY
2023-03-23,1631595,2091822,1279418,LBY
2023-03-24,1631595,2091822,1279418,LBY
2023-03-25,1619639,2074795,1272473,LBY
2023-03-26,1619639,2074795,1272473,LBY
