date,value,value_high,value_low,iso_code
2022-07-08,2106460,2373432,1805385,BOL
2022-07-09,2106460,2373432,1805385,BOL
2022-07-10,2106460,2373432,1805385,BOL
2022-07-11,2118796,2387168,1811886,BOL
2022-07-12,2118796,2387168,1811886,BOL
2022-07-13,2118796,2387168,1811886,BOL
2022-07-14,2118796,2387168,1811886,BOL
2022-07-15,2118796,2387168,1811886,BOL
2022-07-16,2118796,2387168,1811886,BOL
2022-07-17,2118796,2387168,1811886,BOL
2022-07-18,2118796,2387168,1811886,BOL
2022-07-19,2118796,2387168,1811886,BOL
2022-07-20,2118796,2387168,1811886,BOL
2022-07-21,2113343,2394454,1815055,BOL
2022-07-22,2120136,2410043,1817783,BOL
2022-07-23,2120136,2410043,1817783,BOL
2022-07-24,2119999,2410043,1817783,BOL
2022-07-25,2119999,2410043,1817783,BOL
2022-07-26,2119999,2410043,1817783,BOL
2022-07-27,2119999,2410043,1817783,BOL
2022-07-28,2119999,2410043,1817783,BOL
2022-07-29,2119999,2410043,1817783,BOL
2022-07-30,2119999,2410043,1817783,BOL
2022-07-31,2119999,2410043,1817783,BOL
2022-08-01,2118750,2406819,1819005,BOL
2022-08-02,2118750,2406819,1819005,BOL
2022-08-03,2118750,2406819,1819005,BOL
2022-08-04,2118750,2406819,1819005,BOL
2022-08-05,2118750,2406819,1819005,BOL
2022-08-06,2118750,2406819,1819005,BOL
2022-08-07,2118750,2406819,1819005,BOL
2022-08-08,2118106,2406819,1819005,BOL
2022-08-09,2118106,2406819,1819005,BOL
2022-08-10,2118036,2405807,1819005,BOL
2022-08-11,2114479,2394942,1815213,BOL
2022-08-12,2114479,2394942,1815213,BOL
2022-08-13,2114479,2394942,1815213,BOL
2022-08-14,2114479,2394942,1815213,BOL
2022-08-15,2114479,2394942,1815213,BOL
2022-08-16,2114479,2394942,1815213,BOL
2022-08-17,2114479,2394942,1815213,BOL
2022-08-18,2114479,2394942,1815213,BOL
2022-08-19,2114479,2394942,1815213,BOL
2022-08-20,2114479,2394942,1815213,BOL
2022-08-21,2110500,2378679,1807949,BOL
2022-08-22,2110500,2378679,1807949,BOL
2022-08-23,2110500,2378679,1807949,BOL
2022-08-24,2110500,2378679,1807949,BOL
2022-08-25,2110500,2378679,1807949,BOL
2022-08-26,2110500,2378679,1807949,BOL
2022-08-27,2110500,2378679,1807949,BOL
2022-08-28,2110500,2378679,1807949,BOL
2022-08-29,2110500,2378679,1807949,BOL
2022-08-30,2110500,2378679,1807949,BOL
2022-08-31,2111715,2372511,1811133,BOL
2022-09-01,2114433,2382887,1811824,BOL
2022-09-02,2114433,2382887,1811824,BOL
2022-09-03,2114433,2382887,1811824,BOL
2022-09-04,2114433,2382887,1811824,BOL
2022-09-05,2109288,2379990,1811395,BOL
2022-09-06,2109171,2379990,1811395,BOL
2022-09-07,2109171,2379990,1811395,BOL
2022-09-08,2109171,2379990,1811395,BOL
2022-09-09,2109171,2379990,1811395,BOL
2022-09-10,2109171,2379990,1811395,BOL
2022-09-11,2110658,2378584,1811068,BOL
2022-09-12,2110658,2378584,1811068,BOL
2022-09-13,2110658,2378584,1811068,BOL
2022-09-14,2110658,2378584,1811068,BOL
2022-09-15,2110658,2378584,1811068,BOL
2022-09-16,2110658,2378584,1811068,BOL
2022-09-17,2110658,2378584,1811068,BOL
2022-09-18,2110510,2378584,1811068,BOL
2022-09-19,2110510,2378584,1811068,BOL
2022-09-20,2110510,2378584,1811068,BOL
2022-09-21,2094550,2373893,1803817,BOL
2022-09-22,2095050,2373893,1803817,BOL
2022-09-23,2095050,2373893,1803817,BOL
2022-09-24,2095050,2373893,1803817,BOL
2022-09-25,2095050,2373893,1803817,BOL
2022-09-26,2095050,2373893,1803817,BOL
2022-09-27,2094480,2373532,1803817,BOL
2022-09-28,2094480,2373532,1803817,BOL
2022-09-29,2094480,2373532,1803817,BOL
2022-09-30,2094480,2373532,1806740,BOL
2022-10-01,1872267,2150760,1601917,BOL
2022-10-02,1872267,2150760,1601917,BOL
2022-10-03,1872267,2150760,1601917,BOL
2022-10-04,1872267,2150760,1601917,BOL
2022-10-05,1872267,2150760,1601917,BOL
2022-10-06,1868202,2138007,1599115,BOL
2022-10-07,1867812,2138007,1599115,BOL
2022-10-08,1867812,2138007,1599115,BOL
