date,value,value_high,value_low,iso_code
2022-08-14,171154,211753,139875,DJI
2022-08-15,171154,211753,139875,DJI
2022-08-16,171154,211753,139875,DJI
2022-08-17,171154,211753,139875,DJI
2022-08-18,171153,211753,139875,DJI
2022-08-19,171119,211753,139875,DJI
2022-08-20,171119,211753,139875,DJI
2022-08-21,170719,211558,139155,DJI
2022-08-22,170719,211558,139155,DJI
2022-08-23,170719,211558,139155,DJI
2022-08-24,170719,211558,139155,DJI
2022-08-25,170719,211558,139155,DJI
2022-08-26,170719,211558,139155,DJI
2022-08-27,170719,211558,139155,DJI
2022-08-28,170719,211558,139155,DJI
2022-08-29,170719,211558,139155,DJI
2022-08-30,170719,211558,139155,DJI
2022-08-31,170719,211558,139155,DJI
2022-09-01,170525,210149,138519,DJI
2022-09-02,170525,210149,138519,DJI
2022-09-03,170525,210149,138519,DJI
2022-09-04,170525,210149,138519,DJI
2022-09-05,170525,210149,138519,DJI
2022-09-06,170525,210149,138519,DJI
2022-09-07,170525,210149,138519,DJI
2022-09-08,170525,210149,138519,DJI
2022-09-09,170525,210149,138519,DJI
2022-09-10,170525,210149,138519,DJI
2022-09-11,170472,209918,138733,DJI
2022-09-12,170472,209918,138733,DJI
2022-09-13,170472,209918,138733,DJI
2022-09-14,170472,209918,138733,DJI
2022-09-15,170472,209918,138733,DJI
2022-09-16,170472,209918,138733,DJI
2022-09-17,170472,209918,138733,DJI
2022-09-18,170472,209918,138733,DJI
2022-09-19,170472,209918,138733,DJI
2022-09-20,170472,209918,138733,DJI
2022-09-21,170619,209618,139470,DJI
2022-09-22,170619,209618,139470,DJI
2022-09-23,170619,209618,139470,DJI
2022-09-24,170619,209618,139470,DJI
2022-09-25,170619,209618,139470,DJI
2022-09-26,170619,209618,139470,DJI
2022-09-27,170619,209618,139470,DJI
2022-09-28,170619,209618,139470,DJI
2022-09-29,170619,209526,139470,DJI
2022-09-30,170619,209618,139470,DJI
2022-10-01,169667,209369,138662,DJI
2022-10-02,167599,208568,137501,DJI
2022-10-03,167599,208568,137501,DJI
2022-10-04,167599,208568,137501,DJI
2022-10-05,167599,208568,137501,DJI
2022-10-06,167321,208568,137501,DJI
2022-10-07,167321,208568,137501,DJI
2022-10-08,167321,208568,137501,DJI
2022-10-09,167321,208568,137501,DJI
2022-10-10,167321,208568,137501,DJI
2022-10-11,167044,208568,137501,DJI
2022-10-12,167309,208568,137501,DJI
2022-10-13,167071,208568,137501,DJI
2022-10-14,167044,208568,137501,DJI
2022-10-15,166933,208513,137338,DJI
2022-10-16,166933,208513,137338,DJI
2022-10-17,166933,208513,137338,DJI
2022-10-18,167047,208513,137338,DJI
2022-10-19,168109,207448,139150,DJI
2022-10-20,168111,207808,139150,DJI
2022-10-21,168132,207808,139316,DJI
2022-10-22,168132,207808,139316,DJI
2022-10-23,168132,207808,139316,DJI
2022-10-24,168132,207808,139316,DJI
2022-10-25,174277,214726,143478,DJI
2022-10-26,174277,214726,143478,DJI
2022-10-27,174277,214771,143532,DJI
2022-10-28,174235,214756,141966,DJI
2022-10-29,174235,214756,141966,DJI
2022-10-30,174235,214756,141966,DJI
2022-10-31,174235,214756,141966,DJI
2022-11-01,169826,208927,139125,DJI
2022-11-02,169826,208903,139125,DJI
2022-11-03,169826,208903,139125,DJI
2022-11-04,169826,208903,139125,DJI
2022-11-05,169826,208903,139125,DJI
2022-11-06,169826,208903,139125,DJI
2022-11-07,169826,208903,139125,DJI
2022-11-08,169826,208903,139125,DJI
2022-11-09,169826,208903,139125,DJI
2022-11-10,169327,207896,138931,DJI
2022-11-11,169304,207896,138931,DJI
2022-11-12,169304,207896,138931,DJI
2022-11-13,169220,207896,139626,DJI
2022-11-14,169220,207896,139626,DJI
