date,value,value_high,value_low,iso_code
2022-07-05,186772,227776,153953,DJI
2022-07-06,186772,227776,153953,DJI
2022-07-07,186772,227776,153953,DJI
2022-07-08,186772,227776,153953,DJI
2022-07-09,186772,227776,153953,DJI
2022-07-10,186772,227776,153953,DJI
2022-07-11,186029,226120,152945,DJI
2022-07-12,186029,226120,152945,DJI
2022-07-13,186029,226120,152945,DJI
2022-07-14,186029,226120,152945,DJI
2022-07-15,186029,226120,152945,DJI
2022-07-16,186029,226120,152945,DJI
2022-07-17,186029,226120,152945,DJI
2022-07-18,186029,226120,152945,DJI
2022-07-19,186029,226120,152945,DJI
2022-07-20,186029,226120,152945,DJI
2022-07-21,183426,224159,152090,DJI
2022-07-22,176116,219760,144376,DJI
2022-07-23,176116,219760,144376,DJI
2022-07-24,176116,219760,144376,DJI
2022-07-25,176116,219760,144376,DJI
2022-07-26,176116,219760,144376,DJI
2022-07-27,176116,219760,144376,DJI
2022-07-28,176116,219760,144376,DJI
2022-07-29,176116,219760,144376,DJI
2022-07-30,176116,219760,144376,DJI
2022-07-31,176116,219760,144376,DJI
2022-08-01,171486,213336,140386,DJI
2022-08-02,171486,213336,140386,DJI
2022-08-03,171486,213336,140386,DJI
2022-08-04,171486,213336,140386,DJI
2022-08-05,171588,213413,140386,DJI
2022-08-06,171634,213504,140386,DJI
2022-08-07,171634,213504,140386,DJI
2022-08-08,171634,213504,140386,DJI
2022-08-09,171634,213504,140386,DJI
2022-08-10,171634,213504,140386,DJI
2022-08-11,171154,211753,139875,DJI
2022-08-12,171154,211753,139875,DJI
2022-08-13,171154,211753,139875,DJI
2022-08-14,171154,211753,139875,DJI
2022-08-15,171154,211753,139875,DJI
2022-08-16,171154,211753,139875,DJI
2022-08-17,171154,211753,139875,DJI
2022-08-18,171153,211753,139875,DJI
2022-08-19,171119,211753,139875,DJI
2022-08-20,171119,211753,139875,DJI
2022-08-21,170719,211558,139155,DJI
2022-08-22,170719,211558,139155,DJI
2022-08-23,170719,211558,139155,DJI
2022-08-24,170719,211558,139155,DJI
2022-08-25,170719,211558,139155,DJI
2022-08-26,170719,211558,139155,DJI
2022-08-27,170719,211558,139155,DJI
2022-08-28,170719,211558,139155,DJI
2022-08-29,170719,211558,139155,DJI
2022-08-30,170719,211558,139155,DJI
2022-08-31,170719,211558,139155,DJI
2022-09-01,170525,210149,138519,DJI
2022-09-02,170525,210149,138519,DJI
2022-09-03,170525,210149,138519,DJI
2022-09-04,170525,210149,138519,DJI
2022-09-05,170525,210149,138519,DJI
2022-09-06,170525,210149,138519,DJI
2022-09-07,170525,210149,138519,DJI
2022-09-08,170525,210149,138519,DJI
2022-09-09,170525,210149,138519,DJI
2022-09-10,170525,210149,138519,DJI
2022-09-11,170472,209918,138733,DJI
2022-09-12,170472,209918,138733,DJI
2022-09-13,170472,209918,138733,DJI
2022-09-14,170472,209918,138733,DJI
2022-09-15,170472,209918,138733,DJI
2022-09-16,170472,209918,138733,DJI
2022-09-17,170472,209918,138733,DJI
2022-09-18,170472,209918,138733,DJI
2022-09-19,170472,209918,138733,DJI
2022-09-20,170472,209918,138733,DJI
2022-09-21,170619,209618,139470,DJI
2022-09-22,170619,209618,139470,DJI
2022-09-23,170619,209618,139470,DJI
2022-09-24,170619,209618,139470,DJI
2022-09-25,170619,209618,139470,DJI
2022-09-26,170619,209618,139470,DJI
2022-09-27,170619,209618,139470,DJI
2022-09-28,170619,209618,139470,DJI
2022-09-29,170619,209526,139470,DJI
2022-09-30,170619,209618,139470,DJI
2022-10-01,169667,209369,138662,DJI
2022-10-02,167599,208568,137501,DJI
2022-10-03,167599,208568,137501,DJI
2022-10-04,167599,208568,137501,DJI
2022-10-05,167599,208568,137501,DJI
