date,value,value_high,value_low,iso_code
2022-11-07,6837899,6837899,6837899,TZA
2022-11-08,6897506,6897506,6897506,TZA
2022-11-09,6927187,6927187,6927187,TZA
2022-11-10,6915061,6915061,6915061,TZA
2022-11-11,7012273,7012273,7012273,TZA
2022-11-12,7033407,7033407,7033407,TZA
2022-11-13,7000640,7000640,7000640,TZA
2022-11-14,7038228,7038228,7038228,TZA
2022-11-15,6989447,6989447,6989447,TZA
2022-11-16,6981660,6981660,6981660,TZA
2022-11-17,6971132,6971132,6971132,TZA
2022-11-18,6923764,6923764,6923764,TZA
2022-11-19,6946893,6946893,6946893,TZA
2022-11-20,6938435,6938435,6938435,TZA
2022-11-21,6990593,6990593,6990593,TZA
2022-11-22,7065421,7065421,7065421,TZA
2022-11-23,7048632,7048632,7048632,TZA
2022-11-24,7030666,7030666,7030666,TZA
2022-11-25,7006730,7006730,7006730,TZA
2022-11-26,6915062,6915062,6915062,TZA
2022-11-27,7031334,7031334,7031334,TZA
2022-11-28,6990067,6990067,6990067,TZA
2022-11-29,7006104,7006104,7006104,TZA
2022-11-30,7076231,7076231,7076231,TZA
2022-12-01,7115521,7115521,7115521,TZA
2022-12-02,7048397,7048397,7048397,TZA
2022-12-03,6990258,6990258,6990258,TZA
2022-12-04,6919665,6919665,6919665,TZA
2022-12-05,6872802,6872802,6872802,TZA
2022-12-06,6907998,6907998,6907998,TZA
2023-03-05,5917556,5917556,5917556,TZA
2023-03-06,5858376,5858376,5858376,TZA
2022-12-07,6936147,6936147,6936147,TZA
2022-12-08,6817079,6817079,6817079,TZA
2022-12-09,6756199,6756199,6756199,TZA
2022-12-10,6734920,6734920,6734920,TZA
2022-12-11,6632887,6632887,6632887,TZA
2022-12-12,6595497,6595497,6595497,TZA
2022-12-13,6477788,6477788,6477788,TZA
2022-12-14,6492623,6492623,6492623,TZA
2022-12-15,6465621,6465621,6465621,TZA
2022-12-16,6421003,6421003,6421003,TZA
2022-12-17,6492665,6492665,6492665,TZA
2022-12-18,6435811,6435811,6435811,TZA
2022-12-19,6384332,6384332,6384332,TZA
2022-12-20,6415306,6415306,6415306,TZA
2022-12-21,6396873,6396873,6396873,TZA
2022-12-22,6342834,6342834,6342834,TZA
2022-12-23,6298132,6298132,6298132,TZA
2022-12-24,6197769,6197769,6197769,TZA
2022-12-25,6137017,6137017,6137017,TZA
2022-12-26,6112300,6112300,6112300,TZA
2022-12-27,6091672,6091672,6091672,TZA
2022-12-28,6014724,6014724,6014724,TZA
2022-12-29,6071581,6071581,6071581,TZA
2022-12-30,5826609,5826609,5826609,TZA
2022-12-31,5716865,5716865,5716865,TZA
2023-01-01,5734160,5734160,5734160,TZA
2023-01-02,5725075,5725075,5725075,TZA
2023-01-03,5652205,5652205,5652205,TZA
2023-01-04,5733352,5733352,5733352,TZA
2023-01-05,5717423,5717423,5717423,TZA
2023-01-06,5657954,5657954,5657954,TZA
2023-01-07,5645337,5645337,5645337,TZA
