date,value,value_high,value_low,iso_code
2022-07-20,11974966,11974966,11974966,MLI
2022-07-21,11907017,11907017,11907017,MLI
2022-07-22,11859944,11859944,11859944,MLI
2022-07-23,11759782,11759782,11759782,MLI
2022-07-24,11695567,11695567,11695567,MLI
2022-07-25,11726779,11726779,11726779,MLI
2022-07-26,11838536,11838536,11838536,MLI
2022-07-27,11833845,11833845,11833845,MLI
2022-07-28,11678563,11678563,11678563,MLI
2022-07-29,11595951,11595951,11595951,MLI
2022-07-30,11463217,11463217,11463217,MLI
2022-07-31,11624161,11624161,11624161,MLI
2022-08-01,11501356,11501356,11501356,MLI
2022-08-02,11309611,11309611,11309611,MLI
2022-08-03,11256474,11256474,11256474,MLI
2022-08-04,11115407,11115407,11115407,MLI
2022-08-05,10906240,10906240,10906240,MLI
2022-08-06,10807902,10807902,10807902,MLI
2022-08-07,10713076,10713076,10713076,MLI
2022-08-08,10813628,10813628,10813628,MLI
2022-08-09,10841650,10841650,10841650,MLI
2022-08-10,10878298,10878298,10878298,MLI
2022-08-11,10938166,10938166,10938166,MLI
2022-08-12,10968327,10968327,10968327,MLI
2022-08-13,11137519,11137519,11137519,MLI
2022-08-14,11272291,11272291,11272291,MLI
2022-08-15,11473356,11473356,11473356,MLI
2022-08-16,11610407,11610407,11610407,MLI
2022-08-17,11913371,11913371,11913371,MLI
2022-08-18,12045475,12045475,12045475,MLI
2022-08-19,12091176,12091176,12091176,MLI
2022-08-20,12059844,12059844,12059844,MLI
2022-08-21,12067916,12067916,12067916,MLI
2022-08-22,12180202,12180202,12180202,MLI
2022-08-23,12066010,12066010,12066010,MLI
2022-08-24,12205082,12205082,12205082,MLI
2022-08-25,12033778,12033778,12033778,MLI
2022-08-26,11908559,11908559,11908559,MLI
2022-08-27,12127845,12127845,12127845,MLI
2022-08-28,12094329,12094329,12094329,MLI
2022-08-29,12298309,12298309,12298309,MLI
2022-08-30,12195267,12195267,12195267,MLI
2022-08-31,12428292,12428292,12428292,MLI
2022-09-01,12466392,12466392,12466392,MLI
2022-09-02,12311211,12311211,12311211,MLI
2022-09-03,12355831,12355831,12355831,MLI
2022-09-04,12408679,12408679,12408679,MLI
2022-09-05,12484753,12484753,12484753,MLI
2022-09-06,12464644,12464644,12464644,MLI
2022-09-07,12569840,12569840,12569840,MLI
2022-09-08,12636266,12636266,12636266,MLI
2022-09-09,12700311,12700311,12700311,MLI
2022-09-10,12743432,12743432,12743432,MLI
2022-09-11,12840988,12840988,12840988,MLI
2022-09-12,12687087,12687087,12687087,MLI
2022-09-13,12587236,12587236,12587236,MLI
2022-09-14,12484461,12484461,12484461,MLI
2022-09-15,12449623,12449623,12449623,MLI
2022-09-16,12369833,12369833,12369833,MLI
2022-09-17,12429849,12429849,12429849,MLI
2022-09-18,12379570,12379570,12379570,MLI
2022-09-19,12443338,12443338,12443338,MLI
2022-09-20,12480922,12480922,12480922,MLI
2022-09-21,12598825,12598825,12598825,MLI
2022-09-22,12822916,12822916,12822916,MLI
2022-09-23,12771897,12771897,12771897,MLI
2022-09-24,12880688,12880688,12880688,MLI
2022-09-25,13024783,13024783,13024783,MLI
2022-09-26,12917714,12917714,12917714,MLI
2022-09-27,13007752,13007752,13007752,MLI
2022-09-28,12938029,12938029,12938029,MLI
2022-09-29,12973425,12973425,12973425,MLI
2022-09-30,12998145,12998145,12998145,MLI
2022-10-01,13160020,13160020,13160020,MLI
2022-10-02,13204569,13204569,13204569,MLI
2022-10-03,13165108,13165108,13165108,MLI
2022-10-04,13258262,13258262,13258262,MLI
2022-10-05,13351854,13351854,13351854,MLI
2022-10-06,13403097,13403097,13403097,MLI
2022-10-07,13342158,13342158,13342158,MLI
2022-10-08,13347078,13347078,13347078,MLI
2022-10-09,13379646,13379646,13379646,MLI
2022-10-10,13453034,13453034,13453034,MLI
2022-10-11,13430126,13430126,13430126,MLI
2022-10-12,13538596,13538596,13538596,MLI
2022-10-13,13690551,13690551,13690551,MLI
2022-10-14,13630044,13630044,13630044,MLI
2022-10-15,13790442,13790442,13790442,MLI
2022-10-16,13756081,13756081,13756081,MLI
2022-10-17,13743772,13743772,13743772,MLI
2022-10-18,13700586,13700586,13700586,MLI
2022-10-19,13681336,13681336,13681336,MLI
2022-10-20,13724632,13724632,13724632,MLI
