date,value,value_high,value_low,iso_code
2022-11-07,1009863,1009863,1009863,SLV
2022-11-08,1010724,1010724,1010724,SLV
2022-11-09,1023490,1023490,1023490,SLV
2022-11-10,1037795,1037795,1037795,SLV
2022-11-11,1041799,1041799,1041799,SLV
2022-11-12,1038942,1038942,1038942,SLV
2022-11-13,1023749,1023749,1023749,SLV
2022-11-14,1016545,1016545,1016545,SLV
2022-11-15,1014782,1014782,1014782,SLV
2022-11-16,1022286,1022286,1022286,SLV
2022-11-17,1032014,1032014,1032014,SLV
2022-11-18,1042054,1042054,1042054,SLV
2022-11-19,1033745,1033745,1033745,SLV
2022-11-20,1020525,1020525,1020525,SLV
2022-11-21,1028479,1028479,1028479,SLV
2022-11-22,997074,997074,997074,SLV
2022-11-23,962594,962594,962594,SLV
2022-11-24,939973,939973,939973,SLV
2022-11-25,939562,939562,939562,SLV
2022-11-26,927672,927672,927672,SLV
2022-11-27,916828,916828,916828,SLV
2022-11-28,909785,909785,909785,SLV
2022-11-29,903794,903794,903794,SLV
2022-11-30,894130,894130,894130,SLV
2022-12-01,881385,881385,881385,SLV
2022-12-02,850554,850554,850554,SLV
2022-12-03,821113,821113,821113,SLV
2022-12-04,792924,792924,792924,SLV
2022-12-05,781527,781527,781527,SLV
2022-12-06,771224,771224,771224,SLV
2022-12-07,755624,755624,755624,SLV
2022-12-08,741544,741544,741544,SLV
2022-12-09,726051,726051,726051,SLV
2022-12-10,719828,719828,719828,SLV
2022-12-11,706137,706137,706137,SLV
2022-12-12,678514,678514,678514,SLV
2022-12-13,655275,655275,655275,SLV
2022-12-14,647132,647132,647132,SLV
2022-12-15,623819,623819,623819,SLV
2022-12-16,610496,610496,610496,SLV
2022-12-17,600298,600298,600298,SLV
2022-12-18,586305,586305,586305,SLV
2022-12-19,572631,572631,572631,SLV
2022-12-20,561080,561080,561080,SLV
2022-12-21,558666,558666,558666,SLV
2022-12-22,553079,553079,553079,SLV
2022-12-23,513770,513770,513770,SLV
2022-12-24,487249,487249,487249,SLV
2022-12-25,480043,480043,480043,SLV
2022-12-26,459018,459018,459018,SLV
2022-12-27,445136,445136,445136,SLV
2022-12-28,430834,430834,430834,SLV
2022-12-29,424742,424742,424742,SLV
2022-12-30,407833,407833,407833,SLV
2022-12-31,395488,395488,395488,SLV
2023-01-01,368168,368168,368168,SLV
2023-01-02,373013,373013,373013,SLV
2023-01-03,344102,344102,344102,SLV
2023-01-04,330121,330121,330121,SLV
2023-01-05,313377,313377,313377,SLV
2023-01-06,298662,298662,298662,SLV
2023-01-07,273506,273506,273506,SLV
2023-01-08,249037,249037,249037,SLV
2023-01-09,229352,229352,229352,SLV
2023-01-10,214386,214386,214386,SLV
2023-01-11,204661,204661,204661,SLV
2023-01-12,186935,186935,186935,SLV
2023-01-13,161950,161950,161950,SLV
2023-01-14,155305,155305,155305,SLV
2023-01-15,148626,148626,148626,SLV
2023-01-16,132601,132601,132601,SLV
2023-01-17,107856,107856,107856,SLV
2023-01-18,100078,100078,100078,SLV
2023-01-19,94343,94343,94343,SLV
2023-01-20,70612,70612,70612,SLV
2023-01-21,60321,60321,60321,SLV
2023-01-22,44851,44851,44851,SLV
2023-01-23,42113,42113,42113,SLV
2023-01-24,41314,41314,41314,SLV
2023-01-25,40702,40702,40702,SLV
2023-01-26,41207,41207,41207,SLV
2023-01-27,40905,40905,40905,SLV
2023-01-28,46372,46372,46372,SLV
2023-01-29,48539,48539,48539,SLV
2023-01-30,48507,48507,48507,SLV
2023-01-31,48822,48822,48822,SLV
2023-02-01,51325,51325,51325,SLV
2023-02-02,59723,59723,59723,SLV
2023-02-03,61946,61946,61946,SLV
2023-02-04,61647,61647,61647,SLV
2023-02-05,61829,61829,61829,SLV
2023-02-06,60830,60830,60830,SLV
2023-02-07,64380,64380,64380,SLV
2023-02-08,67330,67330,67330,SLV
2023-02-09,69280,69280,69280,SLV
2023-02-10,78016,78016,78016,SLV
2023-02-11,77322,77322,77322,SLV
2023-02-12,84484,84484,84484,SLV
2023-02-13,84528,84528,84528,SLV
2023-02-14,85069,85069,85069,SLV
2023-02-15,82073,82073,82073,SLV
2023-02-16,82859,82859,82859,SLV
2023-02-17,82461,82461,82461,SLV
2023-02-18,84002,84002,84002,SLV
2023-02-19,83172,83172,83172,SLV
2023-02-20,87965,87965,87965,SLV
2023-02-21,89683,89683,89683,SLV
2023-02-22,90842,90842,90842,SLV
2023-02-23,88981,88981,88981,SLV
2023-02-24,88625,88625,88625,SLV
2023-02-25,88615,88615,88615,SLV
2023-02-26,88516,88516,88516,SLV
2023-02-27,88002,88002,88002,SLV
2023-02-28,85691,85691,85691,SLV
2023-03-01,85687,85687,85687,SLV
2023-03-02,87142,87142,87142,SLV
2023-03-03,69981,69981,69981,SLV
2023-03-04,71243,71243,71243,SLV
2023-03-05,73820,73820,73820,SLV
2023-03-06,73725,73725,73725,SLV
2023-03-07,75306,75306,75306,SLV
2023-03-08,74283,74283,74283,SLV
2023-03-09,76460,76460,76460,SLV
2023-03-10,76101,76101,76101,SLV
2023-03-11,75841,75841,75841,SLV
2023-03-12,76097,76097,76097,SLV
2023-03-13,73188,73188,73188,SLV
2023-03-14,74067,74067,74067,SLV
2023-03-15,74193,74193,74193,SLV
2023-03-16,74415,74415,74415,SLV
2023-03-17,74284,74284,74284,SLV
2023-03-18,74931,74931,74931,SLV
2023-03-19,74261,74261,74261,SLV
2023-03-20,73968,73968,73968,SLV
2023-03-21,72069,72069,72069,SLV
2023-03-22,71206,71206,71206,SLV
2023-03-23,70935,70935,70935,SLV
2023-03-24,69672,69672,69672,SLV
2023-03-25,58256,58256,58256,SLV
2023-03-26,58066,58066,58066,SLV
2023-03-27,57948,57948,57948,SLV
2023-03-28,58223,58223,58223,SLV
2023-03-29,50800,50800,50800,SLV
2023-03-30,50508,50508,50508,SLV
2023-03-31,50527,50527,50527,SLV
2023-04-01,53396,53396,53396,SLV
2023-04-02,51084,51084,51084,SLV
2023-04-03,39175,39175,39175,SLV
2023-04-04,37928,37928,37928,SLV
2023-04-05,37074,37074,37074,SLV
2023-04-06,36419,36419,36419,SLV
2023-04-07,36431,36431,36431,SLV
2023-04-08,32981,32981,32981,SLV
2023-04-09,31928,31928,31928,SLV
2023-04-10,29555,29555,29555,SLV
2023-04-11,20416,20416,20416,SLV
2023-04-12,20111,20111,20111,SLV
2023-04-13,10946,10946,10946,SLV
2023-04-14,10882,10882,10882,SLV
2023-04-15,10634,10634,10634,SLV
2023-04-16,10076,10076,10076,SLV
2023-04-17,9030,9030,9030,SLV
2023-04-18,8980,8980,8980,SLV
2023-04-19,7602,7602,7602,SLV
2023-04-20,7602,7602,7602,SLV
2023-04-21,2929,2929,2929,SLV
2023-04-22,2929,2929,2929,SLV
2023-04-23,2883,2883,2883,SLV
2023-04-24,2707,2707,2707,SLV
2023-04-25,2707,2707,2707,SLV
2023-04-26,2677,2677,2677,SLV
2023-04-27,2677,2677,2677,SLV
2023-04-28,2727,2727,2727,SLV
2023-04-29,2844,2844,2844,SLV
2023-04-30,2844,2844,2844,SLV
2023-05-01,15999,15999,15999,SLV
2023-05-02,14562,14562,14562,SLV
2023-05-03,13481,13481,13481,SLV
2023-05-04,11717,11717,11717,SLV
2023-05-05,11248,11248,11248,SLV
2023-05-06,11298,11298,11298,SLV
2023-05-07,11298,11298,11298,SLV
2023-05-08,11298,11298,11298,SLV
2023-05-09,11298,11298,11298,SLV
2023-05-10,11419,11419,11419,SLV
2023-05-11,12403,12403,12403,SLV
2023-05-12,12969,12969,12969,SLV
2023-05-13,12339,12339,12339,SLV
2023-05-14,12339,12339,12339,SLV
2023-05-15,12403,12403,12403,SLV
2023-05-16,12403,12403,12403,SLV
2023-05-17,14163,14163,14163,SLV
2023-05-18,14235,14235,14235,SLV
2023-05-19,14235,14235,14235,SLV
2023-05-20,14235,14235,14235,SLV
2023-05-21,15426,15426,15426,SLV
2023-05-22,15426,15426,15426,SLV
2023-05-23,16981,16981,16981,SLV
2023-05-24,17076,17076,17076,SLV
2023-05-25,17076,17076,17076,SLV
2023-05-26,17076,17076,17076,SLV
2023-05-27,16299,16299,16299,SLV
2023-05-28,16299,16299,16299,SLV
2023-05-29,14965,14965,14965,SLV
2023-05-30,14965,14965,14965,SLV
2023-05-31,18894,18894,18894,SLV
2023-06-01,19878,19878,19878,SLV
2023-06-02,27969,27969,27969,SLV
2023-06-03,26692,26692,26692,SLV
2023-06-04,25718,25718,25718,SLV
2023-06-05,26343,26343,26343,SLV
2023-06-06,26692,26692,26692,SLV
2023-06-07,26692,26692,26692,SLV
2023-06-08,26692,26692,26692,SLV
2023-06-09,26692,26692,26692,SLV
2023-06-10,25050,25050,25050,SLV
2023-06-11,26277,26277,26277,SLV
2023-06-12,26277,26277,26277,SLV
2023-06-13,29795,29795,29795,SLV
2023-06-14,29795,29795,29795,SLV
