date,value,value_high,value_low,iso_code
2022-11-07,1683701,1893047,1471945,LBR
2022-11-08,1683582,1886739,1471945,LBR
2022-11-09,1681411,1882565,1468509,LBR
2022-11-10,1680763,1882565,1468509,LBR
2022-11-11,1629476,1841530,1429878,LBR
2022-11-12,1629476,1841530,1429878,LBR
2022-11-13,1630818,1841530,1429878,LBR
2022-11-14,1632903,1844644,1431584,LBR
2022-11-15,1634670,1852854,1431584,LBR
2022-11-16,1634670,1852854,1431584,LBR
2022-11-17,1634670,1852854,1431584,LBR
2022-11-18,1634696,1852854,1431642,LBR
2022-11-19,1634696,1852854,1431642,LBR
2022-11-20,1634696,1852854,1431642,LBR
2022-11-21,1608335,1831993,1413983,LBR
2022-11-22,1608335,1831993,1413983,LBR
2022-11-23,1608181,1831993,1413641,LBR
2023-02-21,2112325,2331785,1914242,LBR
2022-11-24,1608335,1831993,1413983,LBR
2022-11-25,1612486,1833812,1416005,LBR
2022-11-26,1612486,1833812,1416005,LBR
2022-11-27,1612486,1833812,1416005,LBR
2022-11-28,1611703,1831653,1415701,LBR
2022-11-29,1611625,1823090,1415701,LBR
2022-11-30,1608660,1818973,1414357,LBR
2022-12-01,1612704,1823148,1417226,LBR
2022-12-02,1612704,1823148,1417226,LBR
2022-12-03,1613131,1825224,1417226,LBR
2022-12-04,1612030,1824187,1417226,LBR
2022-12-05,1612097,1823848,1417226,LBR
2022-12-06,1618605,1833294,1421850,LBR
2022-12-07,1618605,1833294,1421850,LBR
2022-12-08,1618605,1833294,1421850,LBR
2022-12-09,1618605,1833294,1421850,LBR
2022-12-10,1618605,1833294,1421850,LBR
2022-12-11,1628567,1840175,1429682,LBR
2022-12-12,1628567,1840175,1428992,LBR
2022-12-13,1628567,1840083,1428992,LBR
2022-12-14,1628567,1840083,1429294,LBR
2022-12-15,1628658,1840458,1429294,LBR
2022-12-16,1626062,1834601,1428250,LBR
2022-12-17,1624093,1834601,1428250,LBR
2022-12-18,1624093,1834601,1428250,LBR
2022-12-19,1624093,1834601,1428250,LBR
2022-12-20,1623970,1834484,1428250,LBR
2022-12-21,1624626,1831655,1428798,LBR
2022-12-22,1624626,1831655,1428798,LBR
2022-12-23,1624626,1831655,1428798,LBR
2022-12-24,1624626,1831655,1428798,LBR
2022-12-25,1624626,1831655,1428798,LBR
2022-12-26,1624626,1831920,1428798,LBR
2022-12-27,1624626,1831920,1428798,LBR
2022-12-28,1624626,1831920,1428798,LBR
2022-12-29,1624626,1831920,1428798,LBR
2022-12-30,1624626,1831920,1428798,LBR
2022-12-31,1628837,1838579,1432773,LBR
2023-01-01,1624457,1832318,1426401,LBR
2023-01-02,1624457,1832318,1426401,LBR
2023-01-03,1624438,1832318,1426401,LBR
2023-01-04,1623715,1832208,1423820,LBR
2023-01-05,1626214,1835471,1425663,LBR
2023-01-06,1626216,1835471,1425663,LBR
2023-01-07,1626216,1835471,1425663,LBR
2023-01-08,1626214,1835471,1425663,LBR
2023-01-09,1626214,1835471,1425663,LBR
2023-01-10,1626214,1835471,1425663,LBR
2023-01-11,1619952,1827528,1422515,LBR
2023-01-12,1619952,1827528,1422515,LBR
2023-01-13,1619952,1827528,1422515,LBR
2023-04-13,1676074,1881900,1477915,LBR
2023-01-14,1619952,1827528,1422515,LBR
2023-01-15,1619952,1827528,1422515,LBR
2023-01-16,1619952,1827528,1422515,LBR
2023-01-17,1655428,1859550,1450184,LBR
2023-01-18,1655428,1859550,1450184,LBR
2023-01-19,1655428,1859550,1450184,LBR
2023-01-20,1655428,1859550,1450184,LBR
2023-01-21,1662373,1868731,1452920,LBR
2023-01-22,1662373,1868731,1452920,LBR
2023-01-23,1662373,1868731,1452920,LBR
2023-01-24,1665872,1865784,1454322,LBR
2023-01-25,1665872,1865784,1454322,LBR
2023-01-26,1666219,1865784,1454322,LBR
2023-01-27,1666219,1865784,1454322,LBR
2023-01-28,1666219,1865784,1454322,LBR
2023-01-29,1666219,1865784,1454322,LBR
2023-01-30,1666219,1865784,1454322,LBR
2023-01-31,1665888,1865784,1454322,LBR
2023-02-01,1666872,1865891,1451860,LBR
2023-02-02,1666872,1865891,1451860,LBR
2023-02-03,1671637,1871211,1461004,LBR
2023-02-04,1703470,1909391,1490053,LBR
2023-02-05,1703470,1909391,1490053,LBR
2023-02-06,1703470,1909391,1490053,LBR
2023-02-07,1703470,1909391,1490053,LBR
2023-02-08,1703470,1909391,1490053,LBR
2023-02-09,1702733,1909391,1490053,LBR
2023-02-10,1701264,1909652,1489212,LBR
2023-02-11,1704628,1912408,1491862,LBR
2023-02-12,1705620,1912408,1491524,LBR
2023-02-13,1704628,1912408,1491862,LBR
2023-02-14,1698511,1908438,1487195,LBR
2023-02-15,1700223,1911526,1489457,LBR
2023-02-16,1703814,1915845,1490443,LBR
2023-02-17,1705519,1916174,1490443,LBR
2023-02-18,1705519,1916174,1490443,LBR
2023-02-19,1706427,1916174,1490443,LBR
2023-02-20,1706427,1916174,1490443,LBR
2023-02-21,1706427,1916174,1490443,LBR
2023-02-22,1706427,1916174,1490443,LBR
2023-02-23,1706450,1917042,1493125,LBR
2023-05-13,1790222,1988764,1584288,LBR
2023-05-14,1790222,1988717,1583043,LBR
2023-05-15,1790222,1988717,1583043,LBR
2023-05-16,1790222,1988717,1583043,LBR
2023-05-17,1792288,1989866,1584993,LBR
2023-05-18,1792308,1989866,1584993,LBR
2023-05-19,1792308,1989866,1584993,LBR
2023-05-20,1792308,1989866,1584993,LBR
2023-05-21,1795336,1993799,1592483,LBR
2023-05-22,1795336,1993799,1592674,LBR
2023-05-23,1795336,1993799,1592674,LBR
2023-02-24,1706878,1915757,1503373,LBR
2023-02-25,1707360,1915757,1502647,LBR
2023-02-26,1707625,1916388,1503646,LBR
2023-02-27,1707625,1917031,1503963,LBR
2023-02-28,1708422,1919745,1504481,LBR
2023-03-01,1710702,1924297,1511236,LBR
2023-03-02,1713007,1924507,1522815,LBR
2023-03-03,1714155,1919103,1522381,LBR
2023-03-04,1713220,1917251,1520727,LBR
2023-03-05,1713234,1917251,1520727,LBR
2023-03-06,1713300,1918658,1520727,LBR
2023-03-07,1713325,1918658,1521608,LBR
2023-03-08,1713325,1919155,1521608,LBR
2023-03-09,1713293,1919155,1521008,LBR
2023-03-10,1713293,1919155,1521008,LBR
2023-03-11,1713833,1919155,1521198,LBR
2023-03-12,1713833,1919155,1521198,LBR
2023-03-13,1713788,1919155,1521198,LBR
2023-03-14,1722063,1929636,1526032,LBR
2023-03-15,1723289,1929636,1530581,LBR
2023-03-16,1737864,1947733,1544316,LBR
2023-03-17,1738315,1947733,1544316,LBR
2023-03-18,1739671,1954186,1544490,LBR
2023-03-19,1740826,1954186,1548864,LBR
2023-03-20,1740889,1954433,1548864,LBR
2023-03-21,1743320,1961323,1553949,LBR
2023-03-22,1743320,1961323,1553949,LBR
2023-03-23,1744492,1961639,1555277,LBR
2023-03-24,1756025,1964717,1561925,LBR
2023-03-25,1757507,1968759,1564779,LBR
2023-03-26,1757716,1965416,1564735,LBR
2023-03-27,1757716,1965416,1564735,LBR
2023-03-28,1757716,1965416,1564735,LBR
2023-03-29,1759346,1964691,1569362,LBR
2023-03-30,1758517,1964010,1569348,LBR
2023-03-31,1759152,1964010,1569348,LBR
2023-04-01,1772434,1977178,1576787,LBR
2023-04-02,1772516,1977178,1576787,LBR
2023-04-03,1772495,1977178,1576745,LBR
2023-04-04,1772763,1977178,1581181,LBR
2023-04-05,1781333,1980938,1584392,LBR
2023-04-06,1785502,1985330,1590811,LBR
2023-04-07,1774699,1973845,1579229,LBR
2023-04-08,1774699,1973845,1579229,LBR
2023-04-09,1774699,1973845,1579229,LBR
2023-04-10,1774699,1973845,1579229,LBR
2023-04-11,1756116,1954518,1557534,LBR
2023-04-12,1756928,1954518,1557534,LBR
2023-04-13,1781672,1978657,1589849,LBR
2023-04-14,1781672,1978657,1589849,LBR
2023-04-15,1781672,1978657,1589849,LBR
2023-04-16,1781672,1978657,1589849,LBR
2023-04-17,1781672,1978657,1589849,LBR
2023-04-18,1782548,1982292,1589849,LBR
2023-04-19,1782548,1982292,1589849,LBR
2023-04-20,1782622,1982292,1589849,LBR
2023-04-21,1782622,1982292,1589849,LBR
2023-04-22,1782622,1982292,1589849,LBR
2023-04-23,1782622,1982292,1589849,LBR
2023-04-24,1782622,1982292,1589849,LBR
2023-04-25,1783852,1983006,1590502,LBR
2023-04-26,1783876,1983006,1590502,LBR
2023-04-27,1770516,1969561,1571808,LBR
2023-04-28,1771569,1969561,1574500,LBR
2023-04-29,1773260,1967780,1574392,LBR
2023-04-30,1778921,1975287,1576609,LBR
2023-05-01,1779026,1976122,1578714,LBR
2023-05-02,1779026,1976122,1578714,LBR
2023-05-03,1780033,1976122,1578714,LBR
2023-05-04,1781474,1976126,1578714,LBR
2023-05-05,1781562,1976005,1578320,LBR
2023-05-06,1781562,1976005,1578320,LBR
2023-05-07,1781771,1976005,1578383,LBR
2023-05-08,1781771,1976005,1578519,LBR
2023-05-09,1781771,1976005,1578519,LBR
2023-05-10,1781771,1976005,1578519,LBR
2023-05-11,1789963,1988764,1584288,LBR
2023-05-12,1789963,1988764,1584288,LBR
2023-05-13,1785154,1983151,1583908,LBR
2023-05-14,1785154,1983151,1583908,LBR
2023-05-15,1785596,1983151,1583908,LBR
2023-05-16,1785596,1983151,1583908,LBR
2023-05-17,1785616,1983151,1583908,LBR
2023-05-18,1785616,1983151,1583908,LBR
2023-05-19,1785616,1983151,1583908,LBR
2023-05-20,1785616,1983151,1583908,LBR
2023-05-21,1785926,1986895,1587086,LBR
2023-05-22,1785985,1986895,1587277,LBR
2023-05-23,1785985,1986895,1587277,LBR
2023-05-24,1785985,1986895,1587277,LBR
2023-05-25,1785985,1986895,1587277,LBR
2023-05-26,1785649,1986567,1587277,LBR
2023-05-27,1785649,1986567,1587277,LBR
2023-05-28,1785649,1986567,1587277,LBR
2023-05-29,1785649,1986567,1587277,LBR
2023-05-30,1785649,1986567,1587277,LBR
2023-05-31,1785649,1986567,1587277,LBR
2023-06-01,1759245,1951675,1558190,LBR
2023-06-02,1760255,1951675,1558706,LBR
2023-06-03,1760255,1951675,1558706,LBR
2023-06-04,1760255,1951675,1558706,LBR
2023-06-05,1760255,1951675,1558706,LBR
2023-06-06,1771347,1971160,1568282,LBR
2023-03-07,1776345,1973316,1656927,LBR
2023-03-08,1781642,1974656,1659531,LBR
2023-03-09,1781469,1974656,1659531,LBR
2023-03-10,1781469,1974656,1660653,LBR
2023-03-11,1782074,1975692,1660616,LBR
2023-03-12,1782074,1975692,1660616,LBR
2023-03-13,1782403,1975692,1660679,LBR
2023-03-14,1782403,1975692,1660679,LBR
2023-03-15,1782403,1976821,1660679,LBR
2023-03-16,1782403,1976821,1660647,LBR
2023-03-17,1782403,1976821,1660647,LBR
2023-03-18,1782403,1976821,1660647,LBR
2023-03-19,1782403,1976821,1660647,LBR
2023-06-16,1991512,2174600,1794068,LBR
2023-06-17,1991512,2174600,1794068,LBR
2023-06-18,1748627,1911746,1636239,LBR
2023-03-20,1782403,1976821,1660647,LBR
2023-03-21,1776830,1977831,1652356,LBR
2023-03-22,1776973,1977831,1652356,LBR
2023-03-23,1777045,1977831,1653345,LBR
2023-06-20,1991512,2174600,1794068,LBR
2023-06-21,1991059,2174001,1791710,LBR
2023-06-22,1896280,2083899,1710605,LBR
2023-06-23,1896324,2084008,1710605,LBR
2023-03-24,1777076,1977831,1653345,LBR
2023-03-25,1777076,1977831,1653345,LBR
2023-03-26,1777076,1977831,1653345,LBR
2023-03-27,1777076,1977831,1653345,LBR
2023-03-28,1784493,1977831,1661332,LBR
2023-03-29,1784493,1977831,1661332,LBR
2023-03-30,1784461,1977831,1661332,LBR
2023-03-31,1784461,1977831,1661332,LBR
2023-04-01,1774712,1954559,1658502,LBR
2023-04-02,1774712,1954559,1658502,LBR
2023-04-03,1774743,1954559,1658502,LBR
2023-04-04,1774743,1954802,1658502,LBR
2023-04-05,1774743,1954802,1658718,LBR
2023-04-06,1774743,1954531,1658410,LBR
2023-04-07,1774743,1954531,1658410,LBR
2023-04-08,1774743,1954531,1658410,LBR
2023-04-09,1774743,1954531,1658410,LBR
2023-04-10,1774743,1954726,1658410,LBR
2023-04-11,1770661,1945764,1652596,LBR
2023-04-12,1770649,1945764,1652596,LBR
2023-04-13,1770649,1945764,1652596,LBR
2023-04-14,1770643,1945692,1652444,LBR
2023-04-15,1770643,1945692,1652444,LBR
2023-04-16,1770156,1945602,1652444,LBR
2023-04-17,1769868,1945602,1652305,LBR
2023-04-18,1769868,1945602,1652305,LBR
2023-04-19,1769452,1945441,1652305,LBR
2023-04-20,1769426,1945441,1652305,LBR
2023-04-21,1759661,1935516,1640700,LBR
2023-04-22,1759661,1935516,1640700,LBR
2023-04-23,1759661,1935516,1640700,LBR
2023-04-24,1759661,1935516,1640700,LBR
2023-04-25,1759661,1935516,1640700,LBR
