date,value,value_high,value_low,iso_code
2022-10-04,993634,1382184,724293,LAO
2022-10-05,991572,1381518,724293,LAO
2022-10-06,992459,1383018,726005,LAO
2022-10-07,992459,1383018,726005,LAO
2022-10-08,992459,1383018,726005,LAO
2022-10-09,991273,1365583,725121,LAO
2022-10-10,989102,1365583,720482,LAO
2022-10-11,982691,1357941,713582,LAO
2022-10-12,970213,1348902,709939,LAO
2022-10-13,970213,1348902,709939,LAO
2022-10-14,982691,1357941,713582,LAO
2022-10-15,969924,1347329,709248,LAO
2022-10-16,969924,1347329,709248,LAO
2022-10-17,969924,1347329,709248,LAO
2022-10-18,969924,1347329,709248,LAO
2022-10-19,992482,1381734,719051,LAO
2022-10-20,992482,1381734,719051,LAO
2022-10-21,970789,1337954,709338,LAO
2022-10-22,986080,1369504,716415,LAO
2022-10-23,992655,1370433,719157,LAO
2022-10-24,992575,1370433,719329,LAO
2022-10-25,992575,1371867,718849,LAO
2022-10-26,992575,1371867,718849,LAO
2022-10-27,992575,1371867,718849,LAO
2022-10-28,992022,1388940,719794,LAO
2022-10-29,992022,1390326,719794,LAO
2022-10-30,992022,1390326,719794,LAO
2022-10-31,992022,1390326,719794,LAO
2022-11-01,1019741,1415794,723304,LAO
2022-11-02,1019490,1417526,723304,LAO
2022-11-03,1019741,1415794,723304,LAO
2022-11-04,1019741,1415794,723304,LAO
2022-11-05,1019181,1416261,723304,LAO
2022-11-06,1020018,1421810,723620,LAO
2022-11-07,1020194,1423261,723620,LAO
2022-11-08,1020063,1423261,723620,LAO
2022-11-09,1020063,1423261,723620,LAO
2022-11-10,1020063,1423261,723620,LAO
2022-11-11,1020024,1408424,725369,LAO
2022-11-12,1020024,1408424,725369,LAO
2022-11-13,1020024,1408424,725369,LAO
2022-11-14,1020024,1408424,725369,LAO
2022-11-15,1020024,1408424,725247,LAO
2022-11-16,1020314,1408626,724567,LAO
2022-11-17,1020314,1408729,724689,LAO
2022-11-18,1020314,1408729,724689,LAO
2022-11-19,1020314,1408626,724567,LAO
2022-11-20,1019686,1407372,724567,LAO
2022-11-21,1020941,1412000,724825,LAO
2022-11-22,1020941,1412000,724825,LAO
2022-11-23,1020941,1412000,724825,LAO
2022-11-24,1020675,1411695,724825,LAO
2022-11-25,1020102,1411893,725020,LAO
2022-11-26,1020102,1411893,725020,LAO
2022-11-27,1020102,1411893,725020,LAO
2022-11-28,1020102,1411893,727152,LAO
2022-11-29,1020102,1411893,727152,LAO
2022-11-30,1020102,1411893,727152,LAO
2022-12-01,1029711,1431889,714606,LAO
2022-12-02,1029711,1431889,714606,LAO
2022-12-03,1029952,1431889,714728,LAO
2022-12-04,1029711,1431889,714606,LAO
2022-12-05,1029839,1431889,715244,LAO
2022-12-06,1031745,1419126,717314,LAO
2022-12-07,1031745,1419126,717314,LAO
2022-12-08,1031745,1419126,717314,LAO
2022-12-09,1031745,1419126,717314,LAO
2022-12-10,1031745,1419126,717314,LAO
2022-12-11,1030863,1420629,715567,LAO
2022-12-12,1030863,1420629,715567,LAO
2022-12-13,1030863,1420629,715567,LAO
2022-12-14,1030863,1420629,715567,LAO
2022-12-15,1030863,1420629,715567,LAO
2022-12-16,1031196,1421271,715567,LAO
2022-12-17,1031196,1421271,715567,LAO
2022-12-18,1031196,1421271,715567,LAO
2022-12-19,1031196,1421271,715567,LAO
2022-12-20,1031196,1421271,715567,LAO
2022-12-21,1032685,1421074,718588,LAO
2022-12-22,1032685,1421074,718588,LAO
2022-12-23,1034075,1421946,718716,LAO
2022-12-24,1033160,1421946,718588,LAO
2022-12-25,1033160,1421074,718588,LAO
2022-12-26,1032957,1420432,718588,LAO
2022-12-27,1032680,1420737,718785,LAO
2022-12-28,1032957,1420432,718588,LAO
2022-12-29,1032957,1420432,718588,LAO
2022-12-30,1032957,1420432,718588,LAO
2022-12-31,1027836,1416493,711896,LAO
2023-01-01,1030833,1423399,717228,LAO
2023-01-02,1030833,1423399,717228,LAO
2023-01-03,1030833,1423399,717228,LAO
2023-01-04,1030833,1423399,717228,LAO
