date,value,value_high,value_low,iso_code
2022-11-07,630114,721255,549790,GNB
2022-11-08,630114,721255,549790,GNB
2022-11-09,630114,721255,549790,GNB
2022-11-10,630114,721255,549790,GNB
2022-11-11,631369,722009,550649,GNB
2022-11-12,631369,722009,550649,GNB
2022-11-13,631369,722009,550649,GNB
2022-11-14,631369,722009,550649,GNB
2022-11-15,631369,722009,550649,GNB
2022-11-16,632002,721306,551458,GNB
2022-11-17,631456,721306,551458,GNB
2022-11-18,630049,715720,548869,GNB
2022-11-19,630046,716545,549344,GNB
2022-11-20,629961,716205,549287,GNB
2022-11-21,629373,714521,549287,GNB
2022-11-22,629373,714521,550305,GNB
2022-11-23,628832,713783,550305,GNB
2023-02-21,792792,912612,685204,GNB
2022-11-24,628350,713211,549557,GNB
2022-11-25,630115,716896,550711,GNB
2022-11-26,630279,717269,550824,GNB
2022-11-27,629556,716896,549741,GNB
2022-11-28,630182,716896,550454,GNB
2022-11-29,630182,716896,550454,GNB
2022-11-30,630182,716896,550454,GNB
2022-12-01,631983,718408,551082,GNB
2022-12-02,631983,718408,551082,GNB
2022-12-03,631045,719692,550822,GNB
2022-12-04,630717,717711,549317,GNB
2022-12-05,628178,715874,548488,GNB
2022-12-06,630022,716103,550481,GNB
2022-12-07,633483,720401,552924,GNB
2022-12-08,632253,720464,552924,GNB
2022-12-09,630681,720529,551129,GNB
2022-12-10,630431,720529,551129,GNB
2022-12-11,627755,719107,549488,GNB
2022-12-12,626873,718785,549488,GNB
2022-12-13,626799,718785,548125,GNB
2022-12-14,627172,719107,548125,GNB
2022-12-15,624989,717086,547878,GNB
2022-12-16,625095,717086,547878,GNB
2022-12-17,624504,715562,547878,GNB
2022-12-18,624792,715562,547878,GNB
2022-12-19,626904,724724,547634,GNB
2022-12-20,627419,726503,550853,GNB
2022-12-21,626304,726253,547137,GNB
2022-12-22,626275,726214,547175,GNB
2022-12-23,627345,725726,546553,GNB
2022-12-24,627160,726451,546558,GNB
2022-12-25,627355,725699,546558,GNB
2022-12-26,627373,725350,546558,GNB
2022-12-27,628173,723983,549292,GNB
2022-12-28,627503,722957,549202,GNB
2022-12-29,626235,720328,548270,GNB
2022-12-30,624453,717105,545897,GNB
2022-12-31,624269,717361,545210,GNB
2023-01-01,621449,713951,541246,GNB
2023-01-02,621449,713951,541246,GNB
2023-01-03,622157,713951,541246,GNB
2023-01-04,635177,727669,552137,GNB
2023-01-05,633125,728544,550896,GNB
2023-01-06,633535,729607,550896,GNB
2023-01-07,635698,729670,551106,GNB
2023-01-08,636534,729670,552030,GNB
2023-01-09,636496,729670,551383,GNB
2023-01-10,637065,731192,552339,GNB
2023-01-11,639028,731327,552238,GNB
2023-01-12,639358,731158,552394,GNB
2023-01-13,639834,731158,552394,GNB
2023-04-13,638039,730202,553695,GNB
2023-01-14,639859,731158,552394,GNB
2023-01-15,640528,731137,552465,GNB
2023-01-16,640671,731137,552465,GNB
2023-01-17,641223,731116,552497,GNB
2023-01-18,640753,730750,552497,GNB
2023-01-19,640753,730750,552497,GNB
2023-01-20,640686,730750,552497,GNB
2023-01-21,647301,737548,556582,GNB
2023-01-22,647301,737548,556582,GNB
2023-01-23,646209,737611,557307,GNB
2023-01-24,645105,737486,557855,GNB
2023-01-25,645105,737486,557855,GNB
2023-01-26,645105,737488,557855,GNB
2023-01-27,645421,737732,557855,GNB
2023-01-28,645474,737732,557781,GNB
2023-01-29,645421,737732,557855,GNB
2023-01-30,645421,737732,557855,GNB
2023-01-31,645421,737732,557855,GNB
2023-02-01,653624,748191,563994,GNB
2023-02-02,654610,748191,563994,GNB
2023-02-03,654428,748191,565900,GNB
2023-02-04,654428,748191,565900,GNB
2023-02-05,654610,748191,563994,GNB
2023-02-06,653572,747444,563273,GNB
2023-02-07,653467,747147,563273,GNB
2023-02-08,653467,747147,563893,GNB
2023-02-09,653467,747147,563893,GNB
2023-02-10,657925,747043,567859,GNB
2023-02-11,659917,748364,569177,GNB
2023-02-12,659917,748364,569177,GNB
2023-02-13,660870,750030,569430,GNB
2023-02-14,650383,743012,562677,GNB
2023-02-15,648445,740971,560848,GNB
2023-02-16,652062,744919,567727,GNB
2023-02-17,651392,743288,567181,GNB
2023-02-18,651392,743288,567181,GNB
2023-02-19,652062,744919,567727,GNB
2023-02-20,652062,744919,567727,GNB
2023-02-21,651463,744655,564277,GNB
2023-02-22,651392,743288,567181,GNB
2023-02-23,652062,744919,567727,GNB
2023-05-13,651641,745163,563413,GNB
2023-05-14,651641,745163,563413,GNB
2023-05-15,649923,743844,563193,GNB
2023-05-16,649923,743844,563193,GNB
2023-05-17,637509,732598,553808,GNB
2023-05-18,637509,732598,553808,GNB
2023-05-19,637568,732482,553705,GNB
2023-05-20,637568,732482,553705,GNB
2023-05-21,653974,748100,565087,GNB
2023-05-22,653974,748100,565087,GNB
2023-05-23,653974,748100,565087,GNB
2023-02-24,655094,745762,567792,GNB
2023-02-25,655094,745762,567792,GNB
2023-02-26,655094,745762,567792,GNB
2023-02-27,654615,744363,567484,GNB
2023-02-28,655094,745762,567792,GNB
2023-03-01,653126,743786,563802,GNB
2023-03-02,653126,743786,563802,GNB
2023-03-03,651440,741745,562561,GNB
2023-03-04,638534,730932,552554,GNB
2023-03-05,636216,729717,550220,GNB
2023-03-06,636216,729717,550220,GNB
2023-03-07,636294,729717,550220,GNB
2023-03-08,636294,729717,550220,GNB
2023-03-09,636202,729717,550220,GNB
2023-03-10,636202,729717,550220,GNB
2023-03-11,636139,729795,550220,GNB
2023-03-12,636252,729740,550220,GNB
2023-03-13,636252,729740,550220,GNB
2023-03-14,636220,729147,550201,GNB
2023-03-15,636129,729147,550201,GNB
2023-03-16,636129,729147,550201,GNB
2023-03-17,636129,729147,550201,GNB
2023-03-18,636220,729147,550201,GNB
2023-03-19,636220,729147,550201,GNB
2023-03-20,636220,729147,550201,GNB
2023-03-21,636220,729147,550201,GNB
2023-03-22,636195,729147,550201,GNB
2023-03-23,636195,729147,550201,GNB
2023-03-24,636195,729147,550201,GNB
2023-03-25,636437,729019,550676,GNB
2023-03-26,637102,729645,551509,GNB
2023-03-27,637102,729645,551509,GNB
2023-03-28,636983,729704,551494,GNB
2023-03-29,636983,729704,551494,GNB
2023-03-30,636983,729704,551494,GNB
2023-03-31,637175,729568,551454,GNB
2023-04-01,637175,729568,551454,GNB
2023-04-02,637068,729704,551341,GNB
2023-04-03,636960,729704,551341,GNB
2023-04-04,636954,729657,551341,GNB
2023-04-05,636954,729657,551341,GNB
2023-04-06,638050,729846,551341,GNB
2023-04-07,639100,731099,552861,GNB
2023-04-08,639100,731099,552861,GNB
2023-04-09,639135,731122,552861,GNB
2023-04-10,638989,731122,552821,GNB
2023-04-11,640667,732629,555642,GNB
2023-04-12,640798,732824,555642,GNB
2023-04-13,640909,732012,555554,GNB
2023-04-14,640909,732012,555554,GNB
2023-04-15,640909,732012,555554,GNB
2023-04-16,640909,731971,555554,GNB
2023-04-17,640879,731971,555554,GNB
2023-04-18,640879,731971,555554,GNB
2023-04-19,641792,732000,555250,GNB
2023-04-20,641716,732000,555218,GNB
2023-04-21,641792,732000,555250,GNB
2023-04-22,641792,732000,555250,GNB
2023-04-23,641792,732000,555250,GNB
2023-04-24,641796,732054,555250,GNB
2023-04-25,641911,732054,555218,GNB
2023-04-26,641792,732054,555218,GNB
2023-04-27,644628,736395,556242,GNB
2023-04-28,644628,736395,556242,GNB
2023-04-29,645038,736395,556242,GNB
2023-04-30,645138,736449,556210,GNB
2023-05-01,656744,748771,567481,GNB
2023-05-02,656213,748771,567043,GNB
2023-05-03,656351,749766,566968,GNB
2023-05-04,656348,749885,566968,GNB
2023-05-05,640129,732287,554921,GNB
2023-05-06,640039,732287,554921,GNB
2023-05-07,639834,732287,554076,GNB
2023-05-08,640170,732287,554801,GNB
2023-05-09,639339,732287,554801,GNB
2023-05-10,639339,732287,554801,GNB
2023-05-11,652022,745099,563413,GNB
2023-05-12,651641,745163,563413,GNB
2023-05-13,641601,734409,555539,GNB
2023-05-14,641601,734409,555539,GNB
2023-05-15,639079,734021,554887,GNB
2023-05-16,639079,734021,554887,GNB
2023-05-17,638752,734021,554887,GNB
2023-05-18,638752,734021,554887,GNB
2023-05-19,638752,734021,554887,GNB
2023-05-20,638752,734021,554887,GNB
2023-05-21,643524,739196,558687,GNB
2023-05-22,643524,739196,558687,GNB
2023-05-23,643524,739196,558687,GNB
2023-05-24,643524,738777,558687,GNB
2023-05-25,643524,739260,558727,GNB
2023-05-26,643774,739260,558727,GNB
2023-05-27,643765,738841,558727,GNB
