year,Africa,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,Congo Republic,Cote d'Ivoire,DR Congo,Djibouti,Egypt,Eritrea,Eswatini,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Sierra Leone,Somalia,South Africa,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2009,0.04295,0.00768,0.11161,0.02631,0.00853,0.02166,0.01794,0.05518,0.0343,0.03461,0.02873,0.08178,0.07336,0.15964,0.20236,0.06378,0.04405,0.03706,0.0466,0.01932,0.15329,0.09129,0.0365,0.0966,0.1059,0.04017,0.02494,0.03808,0.03492,0.02119,0.02904,0.083,0.04629,0.06193,0.01463,0.02246,0.00929,0.00869,0.02149,0.04052,0.01656,,0.03379,0.04665,0.00955,0.07804,0.16444,0.02371,0.0271,0.01241
2010,0.03491,0.00622,0.06936,0.02881,0.01403,0.02209,0.0047,0.05018,0.03566,0.00812,0.02368,0.03566,0.03932,0.09973,0.06211,0.07442,0.04031,0.03986,0.03834,0.03521,0.13561,0.10865,0.03103,0.04905,0.05557,0.03581,0.02087,0.00873,0.04388,0.01026,0.03142,0.11491,0.03662,0.07228,0.02831,0.01553,0.00501,0.00952,0.01519,0.0423,0.01688,,0.02746,0.04245,0.01367,0.04995,0.17665,0.01602,0.01836,0.00712
2011,0.0353,0.00574,0.06701,0.02718,0.01305,0.02605,0.00763,0.05651,0.03482,0.00319,0.02741,0.02884,0.0297,0.08842,0.06984,0.08162,0.04698,0.03303,0.04118,0.06147,0.10353,0.11617,0.02903,0.1579,0.02945,0.04129,0.02165,0.0043,0.03005,0.01115,0.02545,0.1075,0.03475,0.06414,0.0187,0.0193,0.00491,0.01077,0.01151,0.05962,0.02055,,0.02933,0.04293,0.01189,0.015,0.17398,0.01706,0.01692,0.00677
2012,0.03921,0.00731,0.09076,0.03535,0.01063,0.02292,0.01473,0.05495,0.02232,0.01181,0.02683,0.05166,0.03066,0.05012,0.05584,0.07828,0.03437,0.12377,0.03552,0.06098,0.10292,0.09795,0.03381,0.05823,0.04551,0.03816,0.02456,0.00559,0.04455,0.01531,0.0301,0.1027,0.03291,0.06758,0.01916,0.02171,0.00368,0.01095,0.09687,0.05641,0.01733,,0.04812,0.04397,0.01147,0.02194,0.15907,0.01634,0.02749,0.00593
2013,0.04776,0.00389,0.09717,0.0435,0.03833,0.0215,0.02506,0.05924,0.02267,0.01764,0.03938,0.00363,0.05653,0.07723,0.082,0.07316,0.03306,0.13451,0.02894,0.07887,0.18958,0.12184,0.04078,0.02428,0.01741,0.03147,0.02843,0.00743,0.03606,0.02235,0.04024,0.11267,0.02957,0.08257,0.04832,0.03105,0.0054,0.01824,0.05444,0.06004,0.02209,0.0,0.07267,0.0353,0.02484,0.03996,0.12527,0.01851,0.03935,0.0302
2014,0.04798,0.0027,0.13293,0.03767,0.01003,0.03032,0.01247,0.07424,0.06618,0.01844,0.19106,0.00479,0.0552,0.07985,0.05384,0.05577,0.05369,0.0793,0.02448,0.07926,0.11982,0.19375,0.06294,0.02887,0.0161,0.07678,0.03296,0.01374,0.04783,0.02689,0.03497,0.15087,0.04694,0.07562,0.04359,0.04027,0.00347,0.02336,0.11969,0.04987,0.02535,0.0,0.03964,0.0303,0.0223,0.03391,0.12711,0.02028,0.03339,0.03432
2015,0.06909,0.00245,0.20721,0.03352,0.03059,0.04076,0.01307,0.08264,0.05963,0.01436,0.04989,0.03856,0.08245,0.05265,0.04668,0.04198,0.03267,0.05203,0.02481,0.09689,0.14583,0.13307,0.1012,0.02385,0.01936,0.04055,0.04528,0.00444,0.08141,0.02609,0.03815,0.14854,0.04166,0.08129,0.07883,0.03293,0.0073,0.02491,0.01652,0.05886,0.02438,0.0,0.15194,0.06437,0.04255,0.03301,0.12633,0.01924,0.0587,0.03834
2016,0.06952,0.00247,0.41859,0.04854,0.03106,0.03826,0.0229,0.0884,0.06526,0.02622,0.11012,0.0235,0.08371,0.12227,0.06623,0.06617,0.05633,0.03929,0.03031,0.09043,0.11952,0.12326,0.13404,0.04055,0.02114,0.04067,0.04549,0.00404,0.05994,0.03261,0.03855,0.18521,0.04724,0.09509,0.09207,0.052,0.00898,0.02965,0.01599,0.05838,0.03568,0.0,0.05883,0.04364,0.07335,0.04691,0.13733,0.02211,0.10922,0.03185
2017,0.07229,0.00241,0.27597,0.03844,0.03102,0.03128,0.01387,0.0922,0.05981,0.06409,0.11075,0.00985,0.12905,0.18371,0.06327,0.07812,0.08155,0.03325,0.02956,0.1024,0.22853,0.09184,0.16796,0.04433,0.0485,0.05691,0.0404,0.00798,0.05816,0.02573,0.04116,0.2194,0.08467,0.10074,0.09531,0.05753,0.00764,0.03157,0.0318,0.09326,0.04184,0.0,0.04859,0.03739,0.07959,0.0718,0.1844,0.0345,0.08956,0.02305
2018,0.0979,0.00209,0.44325,0.08878,0.0289,0.02992,0.01544,0.09792,0.08415,0.03064,0.11967,0.01283,0.17774,0.10787,0.03944,0.07605,0.10489,0.05296,0.02911,0.12194,0.24665,0.11067,0.17099,0.05823,0.05052,0.10253,0.04589,0.01154,0.05105,0.02846,0.04642,0.25526,0.05027,0.08711,0.09948,0.04264,0.02653,0.03159,0.03697,0.11496,0.04138,0.0,0.12855,0.03705,0.09774,0.0618,0.15772,0.05824,0.11505,0.01192
2019,0.09285,0.00161,0.58143,0.23428,0.02943,0.03452,0.02354,0.09876,0.08998,0.04335,0.08422,0.0092,0.17669,0.23721,0.14278,0.08477,0.09485,0.0339,0.0348,0.1478,0.22981,0.08818,0.14454,0.05056,0.05939,0.16261,0.04905,0.01276,0.04477,0.03708,0.04707,0.25215,0.04312,0.08676,0.14233,0.04617,0.02479,0.02988,0.08633,0.14046,0.05769,0.0,0.0628,0.02854,0.11267,0.07467,0.20236,0.04059,0.15557,0.02267
2020,0.09734,0.00161,0.5237,0.07042,0.03098,0.03119,0.01552,0.09382,0.1405,0.00684,0.08838,0.01444,0.26227,0.14757,0.03539,0.06572,0.11644,,0.04435,0.14094,0.46258,0.06681,0.11101,0.03248,0.06033,0.09831,0.05251,0.02258,0.04872,0.02696,0.05092,0.17176,0.10072,0.10363,0.13559,0.05607,0.03018,0.03328,0.02266,0.12387,0.04865,1.0185,0.09506,0.03824,0.10907,0.04894,0.16334,0.03942,0.1183,0.01266
2021,0.10731,0.00202,0.60949,0.20733,0.02531,0.02602,0.01837,0.08622,0.10387,0.01317,0.1439,0.00628,0.1377,0.08641,0.03471,0.05946,0.15424,,0.04553,0.14695,0.33335,0.07727,0.13603,0.04577,0.10174,0.07888,0.23312,0.01894,0.06456,0.02769,0.05192,0.20717,0.05685,0.10182,0.11117,0.05323,0.04493,0.13207,0.01917,0.20312,0.04445,0.03607,0.08279,0.49754,0.1237,0.05934,0.22291,0.06726,0.0594,0.01741
2022,0.09743,0.00173,0.31398,0.13152,0.02704,0.02995,0.01686,0.16194,0.21807,0.01659,0.09646,0.00757,0.25904,0.10594,0.0562,0.06949,0.12487,,0.03976,0.13043,0.14362,0.06554,0.09947,0.06828,0.16922,0.11323,0.23354,0.02906,0.05185,0.03033,0.06113,0.11887,0.0533,0.11051,0.10801,0.07613,0.04245,0.04207,0.04627,0.1378,0.05224,0.0214,0.1011,0.02845,0.10954,0.08361,0.1734,0.07226,0.053,0.00546
2023,0.11378,0.00103,0.53521,0.17797,0.03598,0.06275,0.03786,0.19244,0.22123,0.04618,0.16989,0.09508,0.29672,0.17252,0.07411,0.32663,0.16832,,0.05436,0.1866,0.18813,0.1959,0.19252,0.12724,0.15584,0.14405,0.07253,0.05606,0.06849,0.03926,0.07005,0.20577,0.26664,0.08244,0.12518,0.09986,0.07136,0.06994,0.06531,0.17704,0.07857,0.07333,0.05612,0.18671,0.11253,0.09028,0.18434,0.10493,0.25387,0.02393
2024,0.1254,0.00096,0.60165,0.19813,0.03463,0.06104,0.05618,0.19557,0.19534,0.04546,0.17397,0.11483,0.25675,0.17324,0.04866,0.32295,0.18295,,0.0601,0.2007,0.20519,0.18889,0.1783,0.17716,0.1607,0.21123,0.08123,0.06119,0.16676,0.05234,0.06853,0.19764,0.12038,0.15343,0.12036,0.07749,0.05941,0.06276,0.09236,0.19875,0.08752,0.06879,0.06737,0.13225,0.10421,0.10939,0.23928,0.10802,0.35896,0.016
